transcript_id	gene_name
ENST00000162391.8	FOXJ2
ENST00000187762.7	TMEM38A
ENST00000221130.11	GSR
ENST00000221818.5	CCNP
ENST00000231121.3	HAND1
ENST00000233735.2	REG1A
ENST00000239117.3	KCNIP2
ENST00000243082.4	HOXC11
ENST00000249005.3	A4GALT
ENST00000251775.9	SNX4
ENST00000253952.9	THOC6
ENST00000256103.3	PMP2
ENST00000256858.10	RELCH
ENST00000258106.11	EMX1
ENST00000260118.7	GGH
ENST00000260604.8	PNPT1
ENST00000261252.4	PRMT8
ENST00000261448.6	CASQ2
ENST00000262643.8	CCNE1
ENST00000263281.7	GIPR
ENST00000263339.4	IL1A
ENST00000264079.11	MCOLN1
ENST00000264381.8	BCHE
ENST00000264572.11	RAP1GDS1
ENST00000265626.8	PMEPA1
ENST00000265651.8	FBXO3
ENST00000265870.7	SLC25A16
ENST00000267383.5	CDH24
ENST00000268154.9	ZNF710
ENST00000272602.7	CNGA3
ENST00000273951.13	GC
ENST00000279263.14	TM7SF2
ENST00000279441.9	MMP10
ENST00000282146.5	KCNK13
ENST00000283628.9	UBP1
ENST00000283629.8	UBP1
ENST00000284240.10	THY1
ENST00000290399.11	SIM2
ENST00000293371.11	DCD
ENST00000295872.8	SPICE1
ENST00000296533.3	NPY1R
ENST00000296802.9	NSA2
ENST00000297404.1	KCNV1
ENST00000299339.3	CLDN10
ENST00000299736.5	CENPV
ENST00000301286.5	PLIN4
ENST00000301686.13	METTL26
ENST00000302472.4	PTGER4
ENST00000302475.9	MCC
ENST00000304207.12	GIPR
ENST00000304749.7	CST1
ENST00000305089.8	REG1B
ENST00000305165.3	REG3A
ENST00000307017.9	USP38
ENST00000308919.12	CYP2W1
ENST00000309877.11	IRF3
ENST00000310597.6	ZNHIT2
ENST00000311181.5	B4GAT1
ENST00000312481.11	COL6A5
ENST00000313582.6	NFKBIB
ENST00000313683.15	PNMA8A
ENST00000314481.4	LINC02880
ENST00000315870.10	ING3
ENST00000315994.6	SH3PXD2A
ENST00000316227.3	PRIMA1
ENST00000321322.6	DSCAML1
ENST00000321331.12	HIGD1A
ENST00000322343.11	HORMAD1
ENST00000323030.6	DUOXA2
ENST00000324079.11	TDRP
ENST00000324309.8	CCDC149
ENST00000326080.10	FAXDC2
ENST00000326266.13	THOC6
ENST00000326391.7	POLR2J4
ENST00000328306.4	SLC9A7
ENST00000328642.11	SYNM
ENST00000329078.8	SPNS2
ENST00000332118.11	SRPRA
ENST00000332800.7	GH2
ENST00000334351.8	PNRC2
ENST00000334567.9	TMEM212
ENST00000336292.11	SYNM
ENST00000336600.7	LINC03040
ENST00000336917.9	ZNF385B
ENST00000338042.11	MEF2A
ENST00000338401.8	METTL26
ENST00000339121.9	ING3
ENST00000339360.9	RAP1GDS1
ENST00000339914.6	ZNF493
ENST00000340150.10	CYP2W1
ENST00000340157.9	VRK2
ENST00000341396.2	LBX2
ENST00000341744.8	PMEPA1
ENST00000341747.8	PRR19
ENST00000342645.7	HIPK2
ENST00000343195.8	KCNIP2
ENST00000343245.7	ATG5
ENST00000343575.11	CXCL12
ENST00000345348.9	TM7SF2
ENST00000346134.11	EXOC1
ENST00000347215.8	PMEPA1
ENST00000348850.9	KCNIP2
ENST00000349598.6	EXOC1
ENST00000350243.10	DUOXA2
ENST00000351797.9	FAM114A2
ENST00000352385.3	IGDCC4
ENST00000353068.7	KCNIP2
ENST00000354410.9	MEF2A
ENST00000354822.7	NKX2-1
ENST00000355504.4	ZNF493
ENST00000355657.6	KCNIP2
ENST00000355946.7	SH3PXD2A
ENST00000356360.9	PICALM
ENST00000356640.7	KCNIP2
ENST00000356768.8	PCYT1B
ENST00000357943.9	CCNE1
ENST00000358038.7	KCNIP2
ENST00000359791.5	NPSR1
ENST00000360032.4	DMBX1
ENST00000360506.6	ANGEL2
ENST00000360581.6	NPSR1
ENST00000360666.6	ATG5
ENST00000361664.7	SAXO5
ENST00000361824.7	HORMAD1
ENST00000362058.2	ENSG00000291072
ENST00000366962.8	ANGEL2
ENST00000367242.4	TMEM183A
ENST00000367932.3	ENSG00000254706
ENST00000368092.7	SLAMF9
ENST00000368093.4	SLAMF9
ENST00000368632.6	HDAC2
ENST00000368762.2	SPRR1A
ENST00000368987.5	HORMAD1
ENST00000368995.8	HORMAD1
ENST00000369070.5	ATG5
ENST00000369073.3	PLPP4
ENST00000369076.8	ATG5
ENST00000369304.8	ITGA10
ENST00000369774.9	SH3PXD2A
ENST00000370046.5	KCNIP2
ENST00000371169.2	ENSG00000203971
ENST00000371811.4	IFIT3
ENST00000371818.9	IFIT3
ENST00000373001.4	RRAGC
ENST00000373157.9	COL6A5
ENST00000373409.8	UGT1A4
ENST00000373625.8	KPNA6
ENST00000373960.4	DES
ENST00000374426.6	CXCL12
ENST00000374429.6	CXCL12
ENST00000374468.1	PNRC2
ENST00000375050.6	PBX2
ENST00000376228.10	HLA-C
ENST00000376237.8	HLA-C
ENST00000376312.3	DEFB121
ENST00000376314.3	DEFB121
ENST00000376819.4	ANGPTL7
ENST00000376855.1	CLDN10
ENST00000376873.7	CLDN10
ENST00000377139.8	IRF3
ENST00000377566.9	LBX2
ENST00000378247.8	SPIRE2
ENST00000378588.5	CYBB
