gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
1	LINC03040	1.51473945163255e-178	1.51473945163255e-178	648	8	3.89016375972434	0.35	818.889806215779	0.598477509148998	640.034429596524	TRUE	0.324806588897347	TRUE	FALSE	Gaussian	TRUE	1.31545101218911	mgcv::gamm_arima(1,1,0)	2.11597685039245e-17	FALSE	648	FALSE	1.31782332292032e-176	ENSG00000181577.16	LINC03040
2	PNPT1	9.49877638095589e-104	9.49877638095589e-104	648	8	3.89016375972434	0.35	474.435373366149	0.712643538520879	640.02243704371	TRUE	0.198293400786898	TRUE	FALSE	Gaussian	TRUE	6.78603487073027	mgcv::gamm_arima(1,1,0)	7.93671721933875e-09	FALSE	648	FALSE	8.16894768762207e-102	ENSG00000138035.16	PNPT1
3	METTL26	1.57868236078157e-88	1.57868236078157e-88	648	8	3.89016375972434	0.35	404.341795266477	0.496392155092192	640.043268450806	TRUE	0.192063612614419	TRUE	FALSE	Gaussian	TRUE	10.1184351930176	mgcv::gamm_arima(1,1,0)	0.0146667500848571	FALSE	648	FALSE	1.34188000666433e-86	ENSG00000130731.17	METTL26
4	SNHG10	1.14204931603898e-80	1.14204931603898e-80	648	8	3.89016375972434	0.35	368.1479662906	0.550838224500001	640.038744061523	TRUE	0.246846846886062	TRUE	FALSE	Gaussian	FALSE	1.85454100374714	mgcv::gamm_arima(1,1,0)	1.55425782826709e-16	FALSE	648	FALSE	9.59321425472739e-79	ENSG00000247092.10	SNHG10
5	FAM114A2	1.72542779496957e-77	1.72542779496957e-77	648	8	3.89016375972434	0.35	353.507154287441	0.227181844939645	640.303922231954	TRUE	0.0786163999362183	TRUE	FALSE	Gaussian	FALSE	3.97673125655347	mgcv::gamm_arima(1,1,0)	1.21556992307488e-12	FALSE	648	FALSE	1.43210506982475e-75	ENSG00000055147.20	FAM114A2
6	CCNE1	5.01757752094168e-73	5.01757752094168e-73	607	8	3.89277904533316	0.35	332.951529073767	0.122357378299353	599.096849643182	TRUE	0.0973068335051844	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	9.09748617244118e-14	FALSE	607	FALSE	4.11441356717218e-71	ENSG00000105173.15	CCNE1
7	IRF3	4.54456470178122e-62	4.54456470178122e-62	648	8	3.89016375972434	0.35	282.492687635548	0.142614990103492	640.051904228567	TRUE	0.125091705307234	TRUE	FALSE	Gaussian	TRUE	4.70206915952189	mgcv::gamm_arima(1,1,0)	2.29212733341063e-11	FALSE	648	FALSE	3.68109740844279e-60	ENSG00000126456.17	IRF3
8	CYP2W1	2.74828724972034e-50	2.74828724972034e-50	648	8	3.89016375972434	0.35	228.236553500678	0.241464264394612	640.046233797298	TRUE	0.602777458614294	TRUE	FALSE	Gaussian	TRUE	11.7820030295019	mgcv::gamm_arima(1,1,0)	5.14491410074169e-17	FALSE	648	FALSE	2.19862979977627e-48	ENSG00000073067.14	CYP2W1
9	FAXDC2	1.15140697063266e-49	1.15140697063266e-49	648	8	3.89016375972434	0.35	225.371369818835	0.147167893040271	640.084149725234	TRUE	-0.225966361717416	TRUE	FALSE	Gaussian	TRUE	6.43731716133911	mgcv::gamm_arima(1,1,0)	0.000215985587986875	FALSE	648	FALSE	9.09611506799804e-48	ENSG00000170271.12	FAXDC2
10	ZNF710	1.06861044511192e-45	1.06861044511192e-45	648	8	3.89016375972434	0.35	207.099940059325	0.081934518393237	642.001682503796	TRUE	0.0702634041837141	TRUE	FALSE	Gaussian	TRUE	67.5619430635997	mgcv::gamm_arima(1,1,0)	1.81215902575277e-05	FALSE	648	FALSE	8.33516147187295e-44	ENSG00000140548.11	ZNF710
