gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
1	CXCL12	3.93409205363582e-164	3.93409205363582e-164	648	8	3.89016375972434	0.35	752.508550263659	0.812682826494757	640.020570116676	TRUE	-0.372531140217646	TRUE	FALSE	Gaussian	TRUE	4.35009845766483	mgcv::gamm_arima(1,1,0)	3.2593400880222e-07	FALSE	648	FALSE	3.42266008666316e-162	ENSG00000107562.18	CXCL12
2	MEF2A	7.8990056346032e-102	7.8990056346032e-102	648	8	3.89016375972434	0.35	465.593885205759	0.273349940985884	640.036539294375	TRUE	-0.172575699009471	TRUE	FALSE	Gaussian	TRUE	3.58917716840308	mgcv::gamm_arima(1,1,0)	5.75659428301351e-11	FALSE	648	FALSE	6.79314484575875e-100	ENSG00000068305.20	MEF2A
3	PNPT1	1.08301985628256e-78	1.08301985628256e-78	648	8	3.89016375972434	0.35	359.043767902334	0.658446239210733	640.049604565954	TRUE	0.157475204195479	TRUE	FALSE	Gaussian	TRUE	3.48732105788141	mgcv::gamm_arima(1,1,0)	6.22801963877735e-11	FALSE	648	FALSE	9.20566877840178e-77	ENSG00000138035.16	PNPT1
4	ING3	2.72320136224343e-77	2.72320136224343e-77	648	8	3.89016375972434	0.35	352.594488001817	0.353255990217132	640.367600381635	TRUE	0.113577742782302	TRUE	FALSE	Gaussian	TRUE	4.45072637722399	mgcv::gamm_arima(1,1,0)	2.78819792632929e-13	FALSE	648	FALSE	2.28748914428448e-75	ENSG00000071243.17	ING3
5	SNHG10	3.68619981364196e-65	3.68619981364196e-65	648	8	3.89016375972434	0.35	296.726869956066	0.306638364720449	640.036960655789	TRUE	0.157779651217241	TRUE	FALSE	Gaussian	TRUE	3.09470295880941	mgcv::gamm_arima(1,1,0)	7.10197284747503e-06	FALSE	648	FALSE	3.05954584532282e-63	ENSG00000247092.10	SNHG10
6	FAXDC2	2.32535953735638e-62	2.32535953735638e-62	648	8	3.89016375972434	0.35	283.832802197648	0.185982395901547	640.090506724139	TRUE	-0.18801581544244	TRUE	FALSE	Gaussian	TRUE	5.07054077033659	mgcv::gamm_arima(1,1,0)	0.0183270384655531	FALSE	648	FALSE	1.90679482063224e-60	ENSG00000170271.12	FAXDC2
7	HDAC2	4.95883480751894e-60	4.95883480751894e-60	648	8	3.89016375972434	0.35	273.107869568685	0.594236032515519	640.07648323936	TRUE	0.139353875225401	TRUE	FALSE	Gaussian	TRUE	5.75393258999902	mgcv::gamm_arima(1,1,0)	0.00258224264681532	FALSE	648	FALSE	4.01665619409034e-58	ENSG00000196591.13	HDAC2
8	LINC03040	1.8745316960077e-57	1.8745316960077e-57	648	8	3.89016375972434	0.35	261.237982869126	0.738033304084135	643.239803548932	TRUE	0.106347219597228	TRUE	FALSE	Gaussian	TRUE	1.18725895903155	mgcv::gamm_arima(1,1,0)	5.37421140635245e-15	FALSE	648	FALSE	1.49962535680616e-55	ENSG00000181577.16	LINC03040
9	CENPV	1.04762505920102e-51	1.04762505920102e-51	648	8	3.89016375972434	0.35	234.770627977499	0.157028025928068	640.073716061074	TRUE	0.0936191677075282	TRUE	FALSE	Gaussian	TRUE	1.99301019868394	mgcv::gamm_arima(1,1,0)	5.39987088247869e-05	FALSE	648	FALSE	8.27623796768803e-50	ENSG00000166582.12	CENPV
10	THY1	2.51976759068792e-51	2.51976759068792e-51	648	8	3.89016375972434	0.35	233.015346142687	0.309819992995584	640.048637032064	TRUE	0.218431204613797	TRUE	FALSE	Gaussian	FALSE	3.40159777205532	mgcv::gamm_arima(1,1,0)	0.000670408572894907	FALSE	648	FALSE	1.96541872073658e-49	ENSG00000154096.15	THY1
