
Global Concordance Metrics: SAIT vs Conover-Iman Rank Transform
Metric                              Value       
Total genes compared                76          
Spearman correlation (p-values)     rho = 0.1155
Both methods significant (p < 0.05) 1 (1.3%)    
SAIT only significant               15 (19.7%)  
Rank test only significant          1 (1.3%)    
Neither significant                 59 (77.6%)  
Concordance rate                    1.3%        
Discordance rate                    21.1%       

Method Agreement Distribution
Agreement.Category  Number.of.Genes Percentage
Both significant    1               1.3%      
SAIT only           15              19.7%     
Rank test only      1               1.3%      
Neither significant 59              77.6%     

Robust Entropic Order Index Interactions: High-Confidence Genes Detected by Both Methods (n=1, ranked by statistical significance)
Gene   SAIT.adj.p Rank.test.adj.p SAIT.Effect Rank.test.rho.2
CXCL12 1.102e-40  1.109e-10       89.8%       0.080          

All Genes with Agreement Classification
Gene            SAIT.p               SAIT.adj.p           Rank.test.p          Rank.test.adj.p      SAIT.Effect       Rank.test.rho.2      Agreement          
CXCL12          1.45063979170844e-42 1.10248624169842e-40 1.44077900399798e-12 1.10939983307844e-10 0.89805792072795  0.0796244959723224   Both significant   
DUOXA2          1.06791042920054e-13 8.00932821900408e-12 0.999590106010006    0.999999997545169    0.634504785743284 0.00370023457716001  SAIT only          
SNHG10          2.87471875365065e-12 2.12729187770148e-10 0.998511544524378    0.999999997545169    0.818616400611645 0.00264634633179213  SAIT only          
THY1            1.6979269908234e-10  1.23948670330108e-08 0.977038758587632    0.999999997545169    0.697114623717398 0.009533631794051    SAIT only          
ATG5            2.04412386568796e-07 1.47176918329533e-05 0.0424992156294954   0.999999997545169    0.83535223924716  0.0251002160104753   SAIT only          
ASMTL           5.40801147615484e-07 3.83968814806994e-05 0.490012845610044    0.999999997545169    0.740412880646833 0.00544691277105753  SAIT only          
SPICE1          9.329054722962e-07   6.5303383060734e-05  0.12371538405632     0.999999997545169    0.800643552982598 0.0301207106107451   SAIT only          
ENSG00000274322 2.23279077759594e-06 0.00015406256365412  0.802142386837144    0.999999997545169    0.776211145576188 0.0035082406251295   SAIT only          
HDAC2           6.77866304288306e-06 0.000460949086916048 0.97967494475908     0.999999997545169    0.692195026189248 0.00914034355707678  SAIT only          
FAM114A2        0.000106580275153486 0.00714087843528356  0.0322549985746494   0.999999997545169    0.259589416234053 0.0335988135239853   SAIT only          
SRP72           0.000137091340290071 0.00904802845914467  0.994598696805831    0.999999997545169    0.924681708268108 0.00363875316776548  SAIT only          
PDE7A           0.000401721062408358 0.0261118690565433   0.999976208721937    0.999999997545169    0.6817082959671   0.00143015917755692  SAIT only          
ETFRF1          0.000516119816570633 0.0330316682605205   0.75833469836163     0.999999997545169    0.845885824548837 0.010586994522413    SAIT only          
SRPRA           0.000571814050850611 0.0360242852035885   0.999521400170037    0.999999997545169    0.885540248136237 0.00144776341586275  SAIT only          
MEF2A           0.000588989675488549 0.03651735988029     0.980869098210051    0.999999997545169    0.679268520177459 0.0128688621301064   SAIT only          
