
Global Concordance Metrics: SAIT vs Conover-Iman Rank Transform
Metric                              Value       
Total genes compared                72          
Spearman correlation (p-values)     rho = 0.3082
Both methods significant (p < 0.05) 1 (1.4%)    
SAIT only significant               20 (27.8%)  
Rank test only significant          0 (0.0%)    
Neither significant                 51 (70.8%)  
Concordance rate                    1.4%        
Discordance rate                    27.8%       

Method Agreement Distribution
Agreement.Category  Number.of.Genes Percentage
Both significant    1               1.4%      
SAIT only           20              27.8%     
Rank test only      0               0.0%      
Neither significant 51              70.8%     

Robust Entropic Order Index Interactions: High-Confidence Genes Detected by Both Methods (n=1, ranked by statistical significance)
Gene   SAIT.adj.p Rank.test.adj.p SAIT.Effect Rank.test.rho.2
CXCL12 2.154e-30  1.554e-08       75.6%       0.105          

All Genes with Agreement Classification
Gene            SAIT.p               SAIT.adj.p           Rank.test.p          Rank.test.adj.p     SAIT.Effect          Rank.test.rho.2      Agreement          
CXCL12          2.83416206098844e-32 2.15396316635121e-30 2.15770238529639e-10 1.5535457174134e-08 0.755779348520054    0.105016711966579    Both significant   
ING3            1.20414789250844e-12 9.03110919381334e-11 0.00573409478628325  0.407120729826111   0.330637371684763    0.0429258763090306   SAIT only          
THY1            1.72695191480443e-12 1.27794441695528e-10 0.261317321971535    0.999999999880648   0.401088366955433    0.0434674214029034   SAIT only          
LINC03040       2.79335887753973e-10 2.039151980604e-08   0.917913831323628    0.999999999880648   0.581270315909785    0.00199079861735492  SAIT only          
SNHG10          8.26525958785851e-10 5.95098690325813e-08 0.907423642119366    0.999999999880648   0.273643246956582    0.0256122980000107   SAIT only          
MEF2A           3.12071491981314e-08 2.21570759306733e-06 0.848805195817608    0.999999999880648   0.20750892895436     0.0451644832899988   SAIT only          
ASMTL           9.8225983791167e-08  6.87581886538169e-06 0.778787066535269    0.999999999880648   0.448885353764975    0.0183885957204989   SAIT only          
HDAC2           1.25396207417694e-07 8.65233831182088e-06 0.996834806428523    0.999999999880648   0.244651788745502    0.0301533696771849   SAIT only          
ATG5            5.92882996253152e-07 4.03160437452144e-05 0.0491535759681123   0.999999999880648   0.578851840982099    0.0250690958927242   SAIT only          
ENSG00000274322 8.73254970223947e-07 5.85080830050044e-05 0.833116099115244    0.999999999880648   0.496453259418696    0.0146395400331916   SAIT only          
RAP1GDS1        2.94322291405358e-06 0.000194252712327536 0.384983068642833    0.999999999880648   0.377592662567535    0.0324984730004135   SAIT only          
FAXDC2          1.16203307840568e-05 0.00075532150096369  0.910493803761132    0.999999999880648   0.244854179687167    0.0278200777746444   SAIT only          
SPICE1          2.04657095526084e-05 0.00130980541136694  0.278575689173177    0.999999999880648   0.562370337815001    0.00896961057983194  SAIT only          
PDE7A           3.14512385346521e-05 0.00198142802768309  0.999893296763528    0.999999999880648   0.0567730762093038   0.0100583005652572   SAIT only          
TMEM183A        4.23793232766645e-05 0.0026275180431532   0.993027604661118    0.999999999880648   0.191501719391172    0.0244530918795041   SAIT only          
ETFRF1          6.57786403313043e-05 0.00401249706020956  0.779447686829942    0.999999999880648   0.6782709350584      0.0102404906207363   SAIT only          
FAM114A2        0.000108988416803069 0.00649596839371469  0.593833461007391    0.999999999880648   0.388165620976319    0.011663711085727    SAIT only          
EXOC1           0.000110101159215503 0.00649596839371469  0.789665796773673    0.999999999880648   0.0720012381668196   0.0132498345144699   SAIT only          
SPNS2           0.000154089192616502 0.00893717317175713  0.997051523765047    0.999999999880648   0.0528232338295256   0.00666756535136899  SAIT only          
NPY1R           0.000318409480256188 0.0181493403746027   0.999793552340788    0.999999999880648   0.173390403123088    0.00310250301201919  SAIT only          
MCOLN1          0.000553418959399088 0.0309914617263489   0.999985128990036    0.999999999880648   0.475137634675928    0.0106455664979381   SAIT only          
SRP72           0.000923548413634956 0.0507951627499226   0.951131566232332    0.999999999880648   0.21066988630421     0.0037058544008532   Neither significant
SRPRA           0.00162204774581709  0.0875905782741229   0.941930747185866    0.999999999880648   0.764731441804457    0.00607808539115215  Neither significant
ZNF714          0.00239851746355524  0.127121425568428    0.875387607514335    0.999999999880648   0.308541251712637    0.00742174425043363  Neither significant
A4GALT          0.00287614412469983  0.149559494484391    0.991630618245519    0.999999999880648   0.229325933167373    0.00590928176535307  Neither significant
CYP2W1          0.00329933624778944  0.168266148637262    0.74884026163907     0.999999999880648   0.312418545590752    0.00719076653117889  Neither significant
PNPT1           0.00447118971274485  0.223559485637242    0.973242001028754    0.999999999880648   0.227900547429809    0.00411148802016987  Neither significant
TLN2            0.00481409305747005  0.235890559816032    0.906072999246568    0.999999999880648   0.303551594165421    0.0162051756312091   Neither significant
CENPV           0.00502056763908387  0.240987246676026    0.681267810113445    0.999999999880648   0.479371819492236    0.00962037738368752  Neither significant
THOC6           0.00612769758356158  0.288001786427394    0.961150835706133    0.999999999880648   0.615262624397855    0.00921057745944228  Neither significant
TM7SF2          0.0115762224823113   0.520930011704007    0.996730312849709    0.999999999880648   0.493035332376584    0.00294180563322872  Neither significant
METTL26         0.0119066469333011   0.523892465065249    0.968552248248724    0.999999999880648   0.330108892676441    0.0067039004113091   Neither significant
PPP1R2          0.0142953054403392   0.614698133934585    0.999059000603553    0.999999999880648   0.446523213529978    0.00608275618599242  Neither significant
EPB41L4A-AS1    0.0162288780330246   0.681612877387035    0.975925154036204    0.999999999880648   0.056768658473884    0.006763653890055    Neither significant
GLB1L2          0.0239927914638346   0.983035972339837    0.790969000741781    0.999999999880648   0.844123989866424    0.00290891611371903  Neither significant
NCF1C           0.0405264890384018   0.983035972339837    0.999979500920423    0.999999999880648   0.0203801167662735   0.000746980464703391 Neither significant
SLC25A16        0.0437327964589164   0.983035972339837    0.950831543164466    0.999999999880648   0.136350231840574    0.0101030511786966   Neither significant
TMEM38A         0.0560649254605015   0.983035972339837    0.980283239479154    0.999999999880648   0.0892447935013574   0.00252706385109786  Neither significant
CCDC149         0.0627865933669706   0.983035972339837    0.968240859454855    0.999999999880648   0.121066154046277    0.00395065596112869  Neither significant
HIGD1A          0.0662193887468105   0.983035972339837    0.7737073726854      0.999999999880648   0.439185648210913    0.00855903669451291  Neither significant
SPIRE2          0.0675746414522886   0.983035972339837    0.999967020178946    0.999999999880648   0.523369483707307    0.00458026737207636  Neither significant
SAR1B           0.0779741328802599   0.983035972339837    0.999995210425001    0.999999999880648   0.242295681307312    0.00397610962382395  Neither significant
CYBB            0.0898560232734902   0.983035972339837    0.9999978299208      0.999999999880648   0.314220519695904    0.00435960027872107  Neither significant
GSKIP           0.104469122436801    0.983035972339837    0.986498801149406    0.999999999880648   0.0491909683640873   0.00585233902109146  Neither significant
DNAJC24         0.114229331554318    0.983035972339837    0.995949860814534    0.999999999880648   0.483734731907726    0.00180826831942571  Neither significant
ANGEL2          0.12495668489338     0.983035972339837    0.974866009120085    0.999999999880648   0.245008781595521    0.00871645172419951  Neither significant
POLR2J4         0.155622051994758    0.983035972339837    0.999227421021354    0.999999999880648   0.133727920494233    0.00845775213420237  Neither significant
SH3PXD2A        0.156984884763145    0.983035972339837    0.999997174885476    0.999999999880648   0.207164271410416    0.00357452329564311  Neither significant
VRK2            0.18770727147609     0.983035972339837    0.968555620214273    0.999999999880648   0.498842479747492    0.008779012698045    Neither significant
CDH24           0.189892708347453    0.983035972339837    0.981030104114893    0.999999999880648   0.22352081837061     0.00330292784551221  Neither significant
ENSG00000254706 0.239771354499204    0.983035972339837    0.998293691218606    0.999999999880648   0.176747795224592    0.00154334462941853  Neither significant
ENSG00000291072 0.292700428531683    0.983035972339837    0.999999999880648    0.999999999880648   0.0794201013730452   0.00118897461321288  Neither significant
NSA2            0.294190261504867    0.983035972339837    0.99843592608379     0.999999999880648   0.189530769752537    0.00152467840729468  Neither significant
ZNF710          0.301999830970064    0.983035972339837    0.999387147810773    0.999999999880648   0.362980709918249    0.0041959922255686   Neither significant
LINC02362       0.310544509184948    0.983035972339837    0.999999778299824    0.999999999880648   0.0743043785500456   0.000879027551383665 Neither significant
GDI1            0.36866192680864     0.983035972339837    0.999658753608455    0.999999999880648   0.709093776218253    0.00171090698802818  Neither significant
NFKBIB          0.375787367774815    0.983035972339837    0.996950265941309    0.999999999880648   0.454721964433047    0.00144047190636573  Neither significant
IFIT3           0.392635263586435    0.983035972339837    0.99999921936789     0.999999999880648   0.0263387354958755   0.000366814112926724 Neither significant
UBP1            0.532584344218149    0.983035972339837    0.999974362901521    0.999999999880648   0.419552980117441    0.00515742352072739  Neither significant
USP38           0.58196683572744     0.983035972339837    0.999061579135573    0.999999999880648   0.0459558402823568   0.000658466492685954 Neither significant
IRF3            0.584552776779196    0.983035972339837    0.999849975710242    0.999999999880648   0.341672339583665    0.00710568823110593  Neither significant
FBXO3           0.591509628152136    0.983035972339837    0.995810970074334    0.999999999880648   0.0328201719506843   0.000685263359751974 Neither significant
ZNF493          0.610069225389573    0.983035972339837    0.997912402939452    0.999999999880648   0.233030389367825    0.00370317644972509  Neither significant
PICALM          0.698979173964333    0.983035972339837    0.999987436371715    0.999999999880648   0.226008376455945    0.000423912907855403 Neither significant
SLC9A7          0.701155802732133    0.983035972339837    0.999996993750825    0.999999999880648   0.0869690275540107   0.00026436547837939  Neither significant
ZFP90           0.864646017757808    0.983035972339837    0.999999962440527    0.999999999880648   0.222747170035528    0.000876382003459775 Neither significant
FOXJ2           0.898144128911562    0.983035972339837    0.993846819887557    0.999999999880648   0.231605854643093    0.000326965715989727 Neither significant
PBX2            0.908419459493774    0.983035972339837    0.999999999639557    0.999999999880648   0.0752538712193902   0.000265972486974828 Neither significant
SYNM            0.956928334810077    0.983035972339837    0.999802355396262    0.999999999880648   0.000197330943286964 1.99954481687871e-05 Neither significant
MCC             0.972086102447863    0.983035972339837    0.999995536940679    0.999999999880648   0.590951951507759    0.000299927120606752 Neither significant
PMEPA1          0.973715109921005    0.983035972339837    0.999999611782869    0.999999999880648   0.324172239217868    8.20879767078578e-05 Neither significant
RELCH           0.983035972339837    0.983035972339837    0.992250537972568    0.999999999880648   0.102915332639184    0.000115703657066095 Neither significant

