q_0	q_0.222222222222222	q_0.444444444444444	q_0.666666666666667	q_0.888888888888889	q_1.11111111111111	q_1.33333333333333	q_1.55555555555556	q_1.77777777777778	q_2
FOXJ2	0	0.0132172421234824	0.030124287802436	0.0521189183846541	0.0811928347453637	0.120202871117342	0.173272003811366	0.24638433707683	0.348270755801475	0.491731209908969
TMEM38A	0	0.000350747259583649	0.000692688540926611	0.00102609696938971	0.00135123675235838	0.00166836348217569	0.00197772442851307	0.00227955882053279	0.00257409811923653	0.00286156628032175
GSR	0	0	0	0	0	0	0	0	0	0
SNX4	0	0	0	0	0	0	0	0	0	0
GGH	0	0	0	0	0	0	0	0	0	0
CCNE1	0	0.00120615889956222	0.00244468314076638	0.00371707036763103	0.00502488057301664	0.00636973909317362	0.00775333974055292	0.00917744808177945	0.0106439048679582	0.0121546296248938
MCOLN1	1.11022302462516e-16	0.000105302478057575	0.000209425469205438	0.000312386654183983	0.00041420343706311	0.000514892949762702	0.000614472056507776	0.000712957358181399	0.000810365196641952	0.000906711658937853
FBXO3	0	0.00638030278701543	0.0126673208463635	0.0188821734300241	0.0250453475042855	0.0311767993315401	0.0372960517887833	0.0434222879851664	0.0495744417118313	0.055771285231587
SLC25A16	0	0.00848901731721937	0.0167450130614881	0.0248287750769092	0.0327993914599337	0.0407150800183948	0.0486339964889659	0.0566150361553467	0.0647186431055487	0.073007641253644
ZNF710	0	0.00127427485724452	0.00253042743718963	0.00376937503372732	0.00499199900858738	0.00619914656419462	0.00739163242850549	0.00857024045642376	0.00973572515206822	0.0108888131160256
TM7SF2	0	0.00425040381272255	0.00875493896353592	0.013536611183963	0.018620650704998	0.0240347460659558	0.0298093039022767	0.0359777377245026	0.0425767890613188	0.0496468847443972
UBP1	2.22044604925031e-16	0.00103002774925393	0.00207918453407725	0.00314846679905079	0.00423889981551928	0.00535153937403332	0.00648747352182388	0.00764782434873901	0.00883374982515143	0.0100464456954201
SPICE1	0	0.00254692996779426	0.00493932400818686	0.00719182356174075	0.00931745682429907	0.0113278371821275	0.0132333356624184	0.015043230929246	0.0167658398645304	0.0184086313522265
NPY1R	1.11022302462516e-16	0.00195387509644309	0.00381792258905758	0.0055986754285342	0.00730221159069444	0.00893418811771518	0.0104998725602448	0.0120041720237388	0.0134516600062221	0.0148466011997908
CENPV	0	0.00308968342224853	0.00611193651391908	0.00907486787499123	0.0119863548807951	0.0148540753498929	0.0176855383922621	0.0204881145792456	0.0232690655740368	0.0260355733590989
METTL26	1.11022302462516e-16	0.052850109834152	0.0993469756191552	0.14196982011485	0.182722235502412	0.223306175938371	0.265257940661489	0.310059819096727	0.359237851885047	0.414454087827323
