gene	p_value_interaction	slope_diff	effect_size_D_q0	effect_size_D_q0_222222222222222	effect_size_D_q0_444444444444444	effect_size_D_q0_666666666666667	effect_size_D_q0_888888888888889	effect_size_D_q1_11111111111111	effect_size_D_q1_33333333333333	effect_size_D_q1_55555555555556	effect_size_D_q1_77777777777778	effect_size_D_q2	per_q_pattern	div_rare_median	div_abundant_median	q_ratio
CXCL12	2.15396316635121e-30	0.192244650778796	0	0.105184288685926	0.211657405986065	0.322293620566857	0.440150684574655	0.568589928019444	0.71141043411496	0.873003620076152	1.05853552448362	1.274165460468	Abundant driven	0.211657405986065	0.873003620076152	0.242447340559254
ING3	9.03110919381334e-11	-0.0555292404349311	0	0.0161009986738782	0.0315685503637731	0.0465434421504585	0.0611533601685463	0.0755150973157925	0.0897364804102354	0.103918060646428	0.118154604929629	0.132536420360721	Abundant driven	0.0315685503637731	0.103918060646428	0.303783097638651
THY1	1.27794441695528e-10	-0.136112283391873	0	0.00253062874533324	0.00509352971442132	0.00770012130433173	0.0103627411490906	0.0130947734353668	0.0159107910099465	0.0188267141860801	0.0218599883981524	0.0250297831282693	Abundant driven	0.00509352971442132	0.0188267141860801	0.270547991756698
LINC03040	2.039151980604e-08	-0.0524577428541578	0	0.00551149333004104	0.0109933127028487	0.0164536699966411	0.0219006496605309	0.0273422266948158	0.0327862841630509	0.0382406302826808	0.0437130151392529	0.0492111470678323	Abundant driven	0.0109933127028487	0.0382406302826808	0.287477288464766
SNHG10	5.95098690325813e-08	-0.0522135755379849	0	0.00307874082647988	0.00623484598911983	0.00947943098429227	0.0128246354222781	0.0162837539505012	0.019871383972738	0.0236035924485838	0.0274981043740567	0.0315745159058123	Abundant driven	0.00623484598911983	0.0236035924485838	0.264148180100183
MEF2A	2.21570759306733e-06	0.0726372521263576	0	0.015631465866583	0.0316123941240227	0.0480396703522855	0.0650165835264752	0.0826538475095968	0.101070724503918	0.120396264388334	0.14077067550598	0.162346844318465	Abundant driven	0.0316123941240227	0.120396264388334	0.262569559650604
ASMTL	6.87581886538169e-06	0.122180837805347	0	0.000193905044889983	0.000377588836395515	0.000551656738297157	0.000716676145159356	0.000873178953050501	0.00102166386532487	0.00116259854466185	0.00129642162183588	0.00142354457093852	Abundant driven	0.000377588836395515	0.00116259854466185	0.324780069723327
HDAC2	8.65233831182088e-06	-0.0568111577005483	0	0.00580756366584453	0.0115934233792241	0.0173784036584437	0.0231839917039493	0.0290324880612773	0.0349471684329177	0.0409524581786539	0.0470741211966937	0.0533394650494765	Abundant driven	0.0115934233792241	0.0409524581786539	0.283094688202796
ATG5	4.03160437452144e-05	0.0306540642579388	0	0.0102286852139114	0.0202007825351343	0.0299619709865008	0.0395543666581683	0.0490169813552512	0.0583861310981286	0.0676958006447975	0.0769779694643457	0.0862629039416569	Abundant driven	0.0202007825351343	0.0676958006447975	0.298405253246484
ENSG00000274322	5.85080830050044e-05	-0.107582579565393	0	0.000831157789949069	0.00171514398628854	0.00265598103071141	0.00365802065059961	0.00472597209437397	0.00586493286560308	0.00708042218212928	0.00837841740729206	0.00976539372314633	Abundant driven	0.00171514398628854	0.00708042218212928	0.242237530781356
RAP1GDS1	0.000194252712327536	-0.0610157140352505	0	0.0123078645507981	0.0235091911141846	0.0337583675729045	0.0431880134390864	0.0519122630097839	0.0600295382029796	0.0676248924364529	0.074771993703315	0.0815348039654085	Abundant driven	0.0235091911141846	0.0676248924364529	0.347641086989915
FAXDC2	0.00075532150096369	0.0628891700002794	0	0.00645942762774462	0.0123296124310747	0.0176830342483055	0.0225828204146978	0.0270840175473204	0.031234684375363	0.0350768314430216	0.0386472297135806	0.0419781068715777	Abundant driven	0.0123296124310747	0.0350768314430216	0.3515030270366
SPICE1	0.00130980541136694	0.0184410053002975	0	0.00254692996779426	0.00493932400818686	0.00719182356174075	0.00931745682429907	0.0113278371821275	0.0132333356624184	0.015043230929246	0.0167658398645304	0.0184086313522265	Abundant driven	0.00493932400818686	0.015043230929246	0.328341965327687
