gene	gene_name	p_interaction	adj_p_interaction
CXCL12	CXCL12	1.62784661767493e-14	1.23716342943295e-12
DUOXA2	DUOXA2	4.25346484949878e-09	3.19009863712408e-07
ATG5	ATG5	9.24124601845198e-05	0.00683852205365446
THY1	THY1	0.000174355071906857	0.0127279202492006
FAM114A2	FAM114A2	0.000493551740076473	0.035535725285506
FAXDC2	FAXDC2	0.00207833900601997	0.147562069427418
SPICE1	SPICE1	0.0069475006378054	0.486325044646378
ING3	ING3	0.00718797205751663	0.495970071968648
ASMTL	ASMTL	0.00868112386644291	0.590316422918118
MEF2A	MEF2A	0.0102881663164245	0.689307143200438
NPY1R	NPY1R	0.0106338875521565	0.701836578442326
CCNE1	CCNE1	0.0129792945497455	0.843654145733459
REG3A	REG3A	0.0135366780278366	0.866347393781542
PDE7A	PDE7A	0.014545539110703	0.916368963974289
SNHG10	SNHG10	0.0161835198938282	1
SRP72	SRP72	0.0170110370398056	1
LINC03040	LINC03040	0.0412157975880199	1
SPNS2	SPNS2	0.0436788335845836	1
ENSG00000274322	ENSG00000274322	0.0478072517726451	1
THOC6	THOC6	0.0671096027251633	1
HDAC2	HDAC2	0.0837242917104226	1
EXOC1	EXOC1	0.0877642841512556	1
RELCH	RELCH	0.107760085493673	1
SYNM	SYNM	0.112353736186089	1
ZNF714	ZNF714	0.11242495135673	1
CYP2W1	CYP2W1	0.12067854894572	1
PICALM	PICALM	0.130773095620235	1
ZNF493	ZNF493	0.132457309801825	1
TMEM183A	TMEM183A	0.139846148891571	1
ENSG00000291072	ENSG00000291072	0.152681492320729	1
MCC	MCC	0.160295995702096	1
NSA2	NSA2	0.185558654499156	1
TM7SF2	TM7SF2	0.193927035783613	1
ETFRF1	ETFRF1	0.19556200452591	1
HIGD1A	HIGD1A	0.198906069170853	1
FOXJ2	FOXJ2	0.201301252609833	1
CENPV	CENPV	0.220888097370914	1
PMEPA1	PMEPA1	0.236815770743477	1
CCDC149	CCDC149	0.243118788843136	1
MCOLN1	MCOLN1	0.243441529642604	1
IRF3	IRF3	0.25106746621964	1
PBX2	PBX2	0.257544832687283	1
DNAJC24	DNAJC24	0.259618056370285	1
ANGEL2	ANGEL2	0.261397535427658	1
ZFP90	ZFP90	0.264949894588308	1
GDI1	GDI1	0.274590915651098	1
NFKBIB	NFKBIB	0.275363132228183	1
VRK2	VRK2	0.280402788129814	1
EPB41L4A-AS1	EPB41L4A-AS1	0.297142980593712	1
USP38	USP38	0.309778787799365	1
SPIRE2	SPIRE2	0.35768009133573	1
TLN2	TLN2	0.365590889249923	1
SH3PXD2A	SH3PXD2A	0.378693043199214	1
SLC25A16	SLC25A16	0.401693881755126	1
SAR1B	SAR1B	0.412942369849565	1
POLR2J4	POLR2J4	0.418533593030531	1
FBXO3	FBXO3	0.420319374483339	1
UBP1	UBP1	0.426489555188738	1
SLC9A7	SLC9A7	0.439179679898606	1
RAP1GDS1	RAP1GDS1	0.449905937426705	1
NCF1C	NCF1C	0.462558951706315	1
PPP1R2	PPP1R2	0.518305654686901	1
TMEM38A	TMEM38A	0.537214926064661	1
PNPT1	PNPT1	0.583339784117786	1
METTL26	METTL26	0.627745371124108	1
CYBB	CYBB	0.662612074773814	1
CDH24	CDH24	0.668620043393657	1
ENSG00000254706	ENSG00000254706	0.709826462001701	1
GLB1L2	GLB1L2	0.713088251674107	1
SRPRA	SRPRA	0.740324369814688	1
GSKIP	GSKIP	0.754581471510764	1
LINC02362	LINC02362	0.775524760292169	1
GIPR	GIPR	0.777858261402053	1
ZNF710	ZNF710	0.844569022892086	1
A4GALT	A4GALT	0.910461329343084	1
IFIT3	IFIT3	0.975939631156496	1
