gene	gene_name	n_transcripts	max_delta_influence	n_switching_transcripts	n_fdr_significant	q_value
ENSG00000163611.12	SPICE1	4	0.0901684400555602	0	1	0
ENSG00000164128.8	NPY1R	4	0.270505320166681	1	2	0
ENSG00000140274.15	DUOXA2	2	0.961796693925976	2	2	0
ENSG00000182934.13	SRPRA	3	0.113779903328355	0	1	0
ENSG00000107562.18	CXCL12	3	0.113779903328355	0	1	0
ENSG00000055147.20	FAM114A2	6	0.139527656637812	0	1	0
ENSG00000196591.13	HDAC2	6	0.279055313275624	1	3	0
ENSG00000057663.17	ATG5	5	0	0	0	0
ENSG00000169093.17	ASMTL	2	0.18033688011112	0	0	0
ENSG00000205707.12	ETFRF1	3	0	0	0	0
ENSG00000205268.12	PDE7A	6	0.0697638283189059	0	2	0
ENSG00000174780.18	SRP72	5	0	0	0	0
ENSG00000154096.15	THY1	3	0.568899516641773	3	1	0
ENSG00000247092.10	SNHG10	4	0.0901684400555602	0	2	0
ENSG00000068305.20	MEF2A	5	0.233000600459854	0	2	0
ENSG00000274322.1	ENSG00000274322	2	0.18033688011112	0	0	0
ENSG00000163611.12	SPICE1	4	0.038818662541654	1	1	0.5
ENSG00000164128.8	NPY1R	4	0.0674349918444196	0	0	0.5
ENSG00000140274.15	DUOXA2	2	0.311521852067297	1	1	0.5
ENSG00000182934.13	SRPRA	3	0.0151002079910565	0	0	0.5
ENSG00000107562.18	CXCL12	3	0.163872404744268	0	1	0.5
ENSG00000055147.20	FAM114A2	6	0.0460035702886488	0	1	0.5
ENSG00000196591.13	HDAC2	6	0.0572211339764329	2	0	0.5
ENSG00000057663.17	ATG5	5	0.0555770020603285	1	1	0.5
ENSG00000169093.17	ASMTL	2	0.0787870201492501	0	0	0.5
ENSG00000205707.12	ETFRF1	3	0.0707450075372851	0	0	0.5
ENSG00000205268.12	PDE7A	6	0.0164674203847931	0	0	0.5
ENSG00000174780.18	SRP72	5	0.0357552769434843	0	0	0.5
ENSG00000154096.15	THY1	3	0.0751193965862556	1	0	0.5
ENSG00000247092.10	SNHG10	4	0.044118924525858	0	0	0.5
ENSG00000068305.20	MEF2A	5	0.0717883613062921	2	0	0.5
ENSG00000274322.1	ENSG00000274322	2	0.0980267562116573	0	0	0.5
ENSG00000163611.12	SPICE1	4	0.0534111706340573	1	1	1
ENSG00000164128.8	NPY1R	4	0.0814915434831556	1	0	1
ENSG00000140274.15	DUOXA2	2	0.362631407479441	1	1	1
ENSG00000182934.13	SRPRA	3	0.0245426588586488	0	0	1
ENSG00000107562.18	CXCL12	3	0.156304496230007	0	1	1
ENSG00000055147.20	FAM114A2	6	0.0473961267244578	1	2	1
ENSG00000196591.13	HDAC2	6	0.0712048143131495	2	0	1
ENSG00000057663.17	ATG5	5	0.0435602641381896	0	0	1
ENSG00000169093.17	ASMTL	2	0.0544479137647961	1	0	1
ENSG00000205707.12	ETFRF1	3	0.0648443240710516	0	0	1
ENSG00000205268.12	PDE7A	6	0.0158922571797102	0	0	1
ENSG00000174780.18	SRP72	5	0.0341118824151552	0	0	1
ENSG00000154096.15	THY1	3	0.0918036007953905	0	0	1
ENSG00000247092.10	SNHG10	4	0.0544093571271396	0	0	1
ENSG00000068305.20	MEF2A	5	0.0598278460602935	3	1	1
ENSG00000274322.1	ENSG00000274322	2	0.0929936619896508	0	0	1
ENSG00000163611.12	SPICE1	4	0.0855354055856761	1	2	1.5
ENSG00000164128.8	NPY1R	4	0.0925244055765083	1	0	1.5
ENSG00000140274.15	DUOXA2	2	0.385516567603988	1	1	1.5
ENSG00000182934.13	SRPRA	3	0.0220489555674396	0	0	1.5
ENSG00000107562.18	CXCL12	3	0.12334407935359	0	0	1.5
ENSG00000055147.20	FAM114A2	6	0.0472245883148209	1	2	1.5
ENSG00000196591.13	HDAC2	6	0.0972846242003439	1	0	1.5
ENSG00000057663.17	ATG5	5	0.0315215909503477	1	1	1.5
ENSG00000169093.17	ASMTL	2	0.0406423359592991	1	0	1.5
ENSG00000205707.12	ETFRF1	3	0.0689119589297466	0	0	1.5
ENSG00000205268.12	PDE7A	6	0.0171754391468876	0	0	1.5
ENSG00000174780.18	SRP72	5	0.0264577991810992	1	1	1.5
ENSG00000154096.15	THY1	3	0.101685414454228	0	0	1.5
ENSG00000247092.10	SNHG10	4	0.0641120567391397	0	0	1.5
ENSG00000068305.20	MEF2A	5	0.0596472326129678	2	2	1.5
ENSG00000274322.1	ENSG00000274322	2	0.0817557655575287	0	0	1.5
ENSG00000163611.12	SPICE1	4	0.103591523942612	2	1	2
ENSG00000164128.8	NPY1R	4	0.100804031929182	1	0	2
ENSG00000140274.15	DUOXA2	2	0.391079319061976	1	1	2
ENSG00000182934.13	SRPRA	3	0.0202697040579068	1	0	2
ENSG00000107562.18	CXCL12	3	0.111890368744757	0	0	2
ENSG00000055147.20	FAM114A2	6	0.0441467463907157	1	1	2
ENSG00000196591.13	HDAC2	6	0.109037898155319	2	0	2
ENSG00000057663.17	ATG5	5	0.0473707557648369	1	0	2
ENSG00000169093.17	ASMTL	2	0.0356447627783274	0	0	2
ENSG00000205707.12	ETFRF1	3	0.0857593309495321	0	0	2
ENSG00000205268.12	PDE7A	6	0.0182519112211637	0	0	2
ENSG00000174780.18	SRP72	5	0.0215337648140321	1	0	2
ENSG00000154096.15	THY1	3	0.107819778119036	0	0	2
ENSG00000247092.10	SNHG10	4	0.0732075774502973	0	0	2
ENSG00000068305.20	MEF2A	5	0.0716114148612886	1	2	2
ENSG00000274322.1	ENSG00000274322	2	0.075943766039991	0	0	2
