gene	gene_name	transcript_id	pvalue	fdr	rrm_p_interaction	rrm_adj_p_interaction	q_value
ENSG00000105173.15	CCNE1	ENST00000262643.8	0.86	1	2.15598167438889e-06	0.000142294790509667	0_00
ENSG00000105173.15	CCNE1	ENST00000357943.9	0.74	1	2.15598167438889e-06	0.000142294790509667	0_00
ENSG00000105173.15	CCNE1	ENST00000574121.1	0.891	1	2.15598167438889e-06	0.000142294790509667	0_00
ENSG00000105173.15	CCNE1	ENST00000586912.1	0.858	1	2.15598167438889e-06	0.000142294790509667	0_00
ENSG00000163611.12	SPICE1	ENST00000295872.8	0.685	1	5.48360161540183e-09	3.8933571469353e-07	0_00
ENSG00000163611.12	SPICE1	ENST00000460832.1	0.685	1	5.48360161540183e-09	3.8933571469353e-07	0_00
ENSG00000163611.12	SPICE1	ENST00000496105.1	0.685	1	5.48360161540183e-09	3.8933571469353e-07	0_00
ENSG00000163611.12	SPICE1	ENST00000496859.1	0.286	1	5.48360161540183e-09	3.8933571469353e-07	0_00
ENSG00000130731.17	METTL26	ENST00000301686.13	0.731	1	5.16577748211313e-05	0.00320601708628249	0_00
ENSG00000130731.17	METTL26	ENST00000338401.8	0.739	1	5.16577748211313e-05	0.00320601708628249	0_00
ENSG00000130731.17	METTL26	ENST00000397666.6	0.731	1	5.16577748211313e-05	0.00320601708628249	0_00
ENSG00000130731.17	METTL26	ENST00000448973.6	0.731	1	5.16577748211313e-05	0.00320601708628249	0_00
ENSG00000130731.17	METTL26	ENST00000568830.1	0.261	1	5.16577748211313e-05	0.00320601708628249	0_00
ENSG00000130731.17	METTL26	ENST00000614890.4	0.299	1	5.16577748211313e-05	0.00320601708628249	0_00
ENSG00000172016.16	REG3A	ENST00000305165.3	0.610376398779247	1	2.36590317084094e-05	0.0015141780293382	0_00
ENSG00000172016.16	REG3A	ENST00000409839.7	0.628348214285714	1	2.36590317084094e-05	0.0015141780293382	0_00
ENSG00000071243.17	ING3	ENST00000315870.10	0.834	1	0.00010029270992312	0.00611785530531035	0_00
ENSG00000071243.17	ING3	ENST00000339121.9	0.834	1	0.00010029270992312	0.00611785530531035	0_00
ENSG00000071243.17	ING3	ENST00000427726.5	0.834	1	0.00010029270992312	0.00611785530531035	0_00
ENSG00000071243.17	ING3	ENST00000431467.1	0.771	1	0.00010029270992312	0.00611785530531035	0_00
ENSG00000071243.17	ING3	ENST00000445699.5	0.834	1	0.00010029270992312	0.00611785530531035	0_00
ENSG00000071243.17	ING3	ENST00000875858.1	0.828	1	0.00010029270992312	0.00611785530531035	0_00
ENSG00000140274.15	DUOXA2	ENST00000323030.6	1	1	2.65547084217704e-11	1.93849371478924e-09	0_00
ENSG00000140274.15	DUOXA2	ENST00000350243.10	0.581	1	2.65547084217704e-11	1.93849371478924e-09	0_00
ENSG00000183018.10	SPNS2	ENST00000329078.8	1	1	5.08891600997221e-05	0.00320601708628249	0_00
ENSG00000183018.10	SPNS2	ENST00000932033.1	0.827	1	5.08891600997221e-05	0.00320601708628249	0_00
ENSG00000181577.16	LINC03040	ENST00000336600.7	0.998	1	0.000136413149442929	0.00818478896657574	0_00
ENSG00000181577.16	LINC03040	ENST00000439969.3	0.998	1	0.000136413149442929	0.00818478896657574	0_00
ENSG00000181577.16	LINC03040	ENST00000442114.6	0.396	1	0.000136413149442929	0.00818478896657574	0_00
ENSG00000107562.18	CXCL12	ENST00000343575.11	0.644	1	2.02836607725068e-26	1.54155821871051e-24	0_00
ENSG00000107562.18	CXCL12	ENST00000374426.6	0.238	1	2.02836607725068e-26	1.54155821871051e-24	0_00
