	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
1	CXCL12	1.62784661767493e-14	1.62784661767493e-14	64	16	14.8345301435571	0.050624625483416	63.4978665079244	0.865125865734678	58.0548471983612	TRUE	-0.0582578576169192	TRUE	FALSE	Gaussian	FALSE	2.09274920969665	mgcv::gamm_arima(1,1,0)	2.56571309451141e-06	FALSE	64	FALSE	1.23716342943295e-12	ENSG00000107562.18	CXCL12
2	DUOXA2	4.25346484949878e-09	4.25346484949878e-09	56	16	12.7549194926107	0.162289782888957	38.5510638548947	0.744134298928993	51.0322230662123	TRUE	0.0786250276519215	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	1.27095277940227e-05	FALSE	56	FALSE	3.19009863712408e-07	ENSG00000140274.15	DUOXA2
3	ATG5	9.24124601845198e-05	9.24124601845198e-05	64	16	9.58693779725125	0.35	18.5784974758527	0.846644985414925	58.0411065300397	TRUE	-0.0189956890013308	TRUE	FALSE	Gaussian	FALSE	2.27216533635902	mgcv::gamm_arima(1,1,0)	0.156000525552611	TRUE	64	FALSE	0.00683852205365446	ENSG00000057663.17	ATG5
4	THY1	0.000174355071906857	0.000174355071906857	64	16	12.6722871435213	0.157277481510487	17.3088333897817	0.592665493465477	58.1366572434365	TRUE	0.0362546358491241	TRUE	FALSE	Gaussian	TRUE	1.70822743830337	mgcv::gamm_arima(1,1,0)	6.36370994199634e-05	FALSE	64	FALSE	0.0127279202492006	ENSG00000154096.15	THY1
5	FAM114A2	0.000493551740076473	0.000493551740076473	64	16	8.03078670537094	0.475222994727209	15.2277657229459	0.0488761089491494	58.5399732431895	TRUE	-0.0248935245525278	TRUE	FALSE	Gaussian	TRUE	2.2699394111506	mgcv::gamm_arima(1,1,0)	6.81904677914164e-05	FALSE	64	FALSE	0.035535725285506	ENSG00000055147.20	FAM114A2
6	FAXDC2	0.00207833900601997	0.00207833900601997	64	16	15.2659137968482	0.0313905265118766	12.3523725181635	0.793899510767691	58.0296428046261	TRUE	-0.0211494092711524	TRUE	FALSE	Gaussian	FALSE	1.51883461594151	mgcv::gamm_arima(1,1,0)	0.712320807970386	TRUE	64	FALSE	0.147562069427418	ENSG00000170271.12	FAXDC2
7	SPICE1	0.0069475006378054	0.0069475006378054	64	16	9.58693779725125	0.35	9.93874660908807	0.786251638456009	58.0475488300006	TRUE	-0.0146768258262591	TRUE	FALSE	Gaussian	FALSE	2.4986108220467	mgcv::gamm_arima(1,1,0)	2.68182020793379e-07	FALSE	64	FALSE	0.486325044646378	ENSG00000163611.12	SPICE1
8	ING3	0.00718797205751663	0.00718797205751663	64	16	6.33857833709159	0.6469112496033	9.87069239489563	0.298064436664335	58.162742437783	TRUE	0.012386359514548	TRUE	FALSE	Gaussian	TRUE	5.07987363868981	mgcv::gamm_arima(1,1,0)	0.020783881510715	FALSE	64	FALSE	0.495970071968648	ENSG00000071243.17	ING3
9	ASMTL	0.00868112386644291	0.00868112386644291	64	16	9.58693779725125	0.35	9.49320856198119	0.811510396977661	58.0811152834484	TRUE	-0.0332115573287447	TRUE	FALSE	Gaussian	TRUE	1.1741006975999	mgcv::gamm_arima(1,1,0)	1.82862335364895e-09	FALSE	64	FALSE	0.590316422918118	ENSG00000169093.17	ASMTL
10	MEF2A	0.0102881663164245	0.0102881663164245	64	16	12.1837096769705	0.184134539924067	9.15352189111525	0.600355642795698	58.0784249302351	TRUE	-0.0227605163597005	TRUE	FALSE	Gaussian	FALSE	2.03915036567689	mgcv::gamm_arima(1,1,0)	2.14186379274584e-06	FALSE	64	FALSE	0.689307143200438	ENSG00000068305.20	MEF2A
11	NPY1R	0.0106338875521565	0.0106338875521565	64	16	14.5119380819508	0.0654143617254012	9.08741887665047	0.57801533136501	58.2244009685731	TRUE	-0.0282312410898255	TRUE	FALSE	Gaussian	TRUE	1.14416963496677	mgcv::gamm_arima(1,1,0)	2.72853090024106e-05	FALSE	64	FALSE	0.701836578442326	ENSG00000164128.8	NPY1R
12	CCNE1	0.0129792945497455	0.0129792945497455	60	16	9.7254510792676	0.35822551517848	8.68879983640244	0.290215296178614	54.5224022706886	TRUE	0.0231889850695751	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	0.276980209329486	TRUE	60	FALSE	0.843654145733459	ENSG00000105173.15	CCNE1
13	REG3A	0.0135366780278366	0.0135366780278366	48	16	9.71390670621571	0.403810753050704	8.6047047733276	0.2732082382473	43.3541975263692	TRUE	0.0280469176723725	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	0.000219788026996467	FALSE	48	FALSE	0.866347393781542	ENSG00000172016.16	REG3A
14	PDE7A	0.014545539110703	0.014545539110703	64	16	8.38053903351717	0.444850940037647	8.4609418454055	0.301897670046296	58.0329052222589	TRUE	0.0106240080030526	TRUE	FALSE	Gaussian	TRUE	6.02798683754205	mgcv::gamm_arima(1,1,0)	0.000409368302508633	FALSE	64	FALSE	0.916368963974289	ENSG00000205268.12	PDE7A
