	Sample	Condition	Proportion_Affected	Genes_Affected	Robustness_Weight	Entropy_Mean	Entropy_SD	Distance_from_Centroid	Status	Pair_ID
1	SRR14800481	normal	0.0694444444444444	5.27777777777778	1	0.700111892905967	0.234196969552458	1.7899546879801	OK	A
2	SRR14800480	normal	0.125	9.5	1	0.740180800520891	0.19487312186607	1.23428290766877	OK	B
3	SRR14800477	normal	0.152777777777778	11.6111111111111	1	0.695004635582552	0.28412429674009	1.57249275506351	Flag for QC	C
4	SRR14800476	normal	0.166666666666667	12.6666666666667	1	0.735981898884832	0.23189046853729	0.906460714997675	Flag for QC	D
5	SRR14800475	normal	0.138888888888889	10.5555555555556	1	0.683008045468524	0.242232199175159	1.66641139428552	OK	E
6	SRR14800490	normal	0.0972222222222222	7.38888888888889	1	0.690026966749812	0.234523410967532	1.33885081345037	OK	F
7	SRR14800489	normal	0.138888888888889	10.5555555555556	1	0.739545253237431	0.241339108517621	1.09629381312919	OK	G
8	SRR14800488	normal	0.138888888888889	10.5555555555556	1	0.679623708732659	0.264135004855749	1.65118384127749	OK	H
9	SRR14800479	tumor	0.125	9.5	1	0.689131079478218	0.271616972417098	2.21855707344084	OK	A
10	SRR14800478	tumor	0.0833333333333333	6.33333333333333	1	0.740765175602237	0.241935336336775	1.56979275078946	OK	B
11	SRR14800487	tumor	0.0555555555555556	4.22222222222222	1	0.733231324257678	0.214783928871345	1.20462389775076	OK	C
12	SRR14800486	tumor	0.0833333333333333	6.33333333333333	1	0.726085486328912	0.247941300759904	1.48717033403979	OK	D
13	SRR14800485	tumor	0.0833333333333333	6.33333333333333	1	0.739215820025926	0.210226488400326	1.40966016514726	OK	E
14	SRR14800484	tumor	0.0972222222222222	7.38888888888889	1	0.744827776401829	0.205552557448392	1.14112620767023	OK	F
15	SRR14800483	tumor	0.125	9.5	1	0.74764137482701	0.226901558288437	1.59212835617971	OK	G
16	SRR14800482	tumor	0.0972222222222222	7.38888888888889	1	0.724504085688544	0.242041603017801	1.67036223219391	OK	H
