	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
1	CXCL12	10	10.7327020359951	1.44077900399798e-12	1.10939983307844e-10	139280.9	201868.25	9	150	0.0796244959723224	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
2	PLP1	10	4.83078568483616	1.26122285565262e-05	0.000958529370295993	73962.65	238166.25	9	150	0.0399208544988385	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
3	LINC03040	10	4.77848001312475	1.4690867531599e-05	0.00110181506486993	77913.475	253634.5	9	150	0.0674551389266514	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
4	ING3	10	2.90562852097025	0.00349541937094019	0.258661033449574	53521.475	286532.25	9	150	0.0385281413325897	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
5	FAM114A2	10	2.11200920993906	0.0322549985746494	0.999999997545169	40687.65	299676.25	9	150	0.0335988135239853	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
6	SPICE1	10	1.59005543064829	0.12371538405632	0.999999997545169	31438.275	307561.5	9	150	0.0301207106107451	Robust across q	art_unpaired	FALSE	FALSE	FALSE
7	ZNF714	10	1.8391370095971	0.0662661201856898	0.999999997545169	35634.475	301399	9	150	0.0300312145529991	Robust across q	art_unpaired	FALSE	FALSE	FALSE
8	RAP1GDS1	10	2.0917235704997	0.0340642716659167	0.999999997545169	40195.225	298920.5	9	150	0.0281873099949389	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
9	HIGD1A	10	0.903392351753648	0.524242275480361	0.999999997545169	18705.1	322084	9	150	0.027091447361228	Robust across q	art_unpaired	FALSE	FALSE	FALSE
10	ATG5	10	2.00888569850564	0.0424992156294954	0.999999997545169	38769.625	300207.75	9	150	0.0251002160104753	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
11	METTL26	10	2.32947070682006	0.017813601632228	0.999999997545169	43451.875	290159.5	9	150	0.023541128175551	Moderately q-dependent	art_unpaired	FALSE	FALSE	FALSE
