	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	model_used	fallback_level	correlation_structure	test_type	weights_source	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
1	CXCL12	2.83416206098844e-32	2.83416206098844e-32	160	16	160	NA	89.7717077494375	0.755779348520054	138	TRUE	0.192244650778796	FALSE	FALSE	Gaussian	FALSE	4.09952881358498	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.26288150188821e-12	FALSE	160	FALSE	2.15396316635121e-30	ENSG00000107562.18	CXCL12
2	ING3	1.20414789250844e-12	1.20414789250844e-12	160	16	160	NA	24.2025831506659	0.330637371684763	138	TRUE	-0.0555292404349311	FALSE	FALSE	Gaussian	TRUE	4.40058472840071	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.00103413591993274	FALSE	160	TRUE	9.03110919381334e-11	ENSG00000071243.17	ING3
3	THY1	1.72695191480443e-12	1.72695191480443e-12	160	16	160	NA	23.8317802099248	0.401088366955433	138	TRUE	-0.136112283391873	FALSE	FALSE	Gaussian	TRUE	1.82247895828438	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.43985872391104e-09	FALSE	160	TRUE	1.27794441695528e-10	ENSG00000154096.15	THY1
4	LINC03040	2.79335887753973e-10	2.79335887753973e-10	160	16	160	NA	18.7965035519677	0.581270315909785	138	TRUE	-0.0524577428541578	FALSE	FALSE	Gaussian	TRUE	1.18698790795111	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.00768300399783516	FALSE	160	TRUE	2.039151980604e-08	ENSG00000181577.16	LINC03040
5	SNHG10	8.26525958785851e-10	8.26525958785851e-10	160	16	160	NA	17.768018379617	0.273643246956582	138	TRUE	-0.0522135755379849	FALSE	FALSE	Gaussian	TRUE	1.66039508769505	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	9.83596721327157e-10	FALSE	160	TRUE	5.95098690325813e-08	ENSG00000247092.10	SNHG10
6	MEF2A	3.12071491981314e-08	3.12071491981314e-08	160	16	160	NA	14.4349822054603	0.20750892895436	138	TRUE	0.0726372521263576	FALSE	FALSE	Gaussian	TRUE	3.19927972895897	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	3.8748211983489e-07	FALSE	160	TRUE	2.21570759306733e-06	ENSG00000068305.20	MEF2A
7	ASMTL	9.8225983791167e-08	9.8225983791167e-08	160	16	160	NA	13.416183773286	0.448885353764975	138	TRUE	0.122180837805347	FALSE	FALSE	Gaussian	TRUE	1.63107056800327	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.66384042360527e-14	FALSE	160	TRUE	6.87581886538169e-06	ENSG00000169093.17	ASMTL
8	HDAC2	1.25396207417694e-07	1.25396207417694e-07	160	16	160	NA	13.2012118128266	0.244651788745502	138	TRUE	-0.0568111577005483	FALSE	FALSE	Gaussian	FALSE	6.72314415417448	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	3.25121502275726e-08	FALSE	160	FALSE	8.65233831182088e-06	ENSG00000196591.13	HDAC2
9	ATG5	5.92882996253152e-07	5.92882996253152e-07	160	16	160	NA	11.8498135125887	0.578851840982099	138	TRUE	0.0306540642579388	FALSE	FALSE	Gaussian	FALSE	3.85608753792932	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	5.98161025881576e-14	FALSE	160	FALSE	4.03160437452144e-05	ENSG00000057663.17	ATG5
10	ENSG00000274322	8.73254970223947e-07	8.73254970223947e-07	160	16	160	NA	11.5172219302716	0.496453259418696	138	TRUE	-0.107582579565393	FALSE	FALSE	Gaussian	FALSE	1.80959334102645	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	2.95119199345295e-12	FALSE	160	FALSE	5.85080830050044e-05	ENSG00000274322.1	ENSG00000274322
