	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
1	CXCL12	10	7.17477131815275	1.6007957390471e-08	1.23261271906627e-06	1.94510957761606	3.34935796543612	9	150	0.367385305849799	Strongly q-dependent	srh_unpaired	FALSE	FALSE	FALSE
2	LINC03040	10	2.81085814873719	0.00458769505513533	0.348664824190285	1.10237805720737	9.75673637420365	9	150	0.101516386457687	Strongly q-dependent	srh_unpaired	FALSE	FALSE	FALSE
3	GLB1L2	10	0.344366468541123	0.958419594671097	1	6.14508881933673	1.29674447174392	9	150	0.825749325331149	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
4	SRPRA	10	0.169734656639294	0.996701042286157	1	6.45104276942423	1.50884013901311	9	150	0.810444430355406	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
5	GDI1	10	0.321306599221121	0.966881560418451	1	5.41875460696214	1.59754628635364	9	150	0.772309325006917	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
6	ENSG00000274322	10	0.284234547028159	0.978133768978622	1	6.6477707926044	3.6767887830231	9	150	0.643879358137208	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
7	THOC6	10	0.136986488867902	0.998575914345108	1	7.0581200691255	3.94593770593989	9	150	0.641410669900227	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
8	PPP1R2	10	0.275895169211538	0.98027657252113	1	6.09153832936954	3.5014863721522	9	150	0.634996627122542	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
9	IRF3	10	0.204452723805489	0.993314317514049	1	0.85627403457339	0.509466397244857	9	150	0.626966892554692	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
10	ETFRF1	10	0.531425299753007	0.84975568941447	1	3.93888707581058	2.53384273279633	9	150	0.608535686222059	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
11	SPIRE2	10	0.0148590964770546	0.999999895944119	1	0.506844734732664	0.32871489461778	9	150	0.606593134623653	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
12	MCC	10	0.0717881509341251	0.99990012549956	1	5.84202683032922	4.00341756123978	9	150	0.593373604885926	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
13	MCOLN1	10	0.0171289528793411	0.999999804458768	1	4.50756172171934	3.34773642914065	9	150	0.573824396624062	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
14	SAR1B	10	0.0224756857080251	0.999999349731046	1	1.60278387616276	1.20533430018672	9	150	0.5707679575816	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
15	ZFP90	10	0.0527371857925105	0.999973160171644	1	1.12898673943865	0.951200408326872	9	150	0.542733253905244	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
16	TM7SF2	10	0.307707484386975	0.971341880174981	1	5.98656758046025	5.08555627914152	9	150	0.540688277729903	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
17	ASMTL	10	0.315398438890297	0.968867306368756	1	6.15473964630852	5.4932784189866	9	150	0.528393724306315	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
18	CYP2W1	10	0.604315678327997	0.791756504740703	1	6.04317031512087	5.72764401794723	9	150	0.51340290859432	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
19	UBP1	10	0.0818157579269356	0.999826951111215	1	0.928912398063597	0.953905752019146	9	150	0.493362780692748	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
20	VRK2	10	0.30231762448251	0.973002172356768	1	0.359918704206665	0.397043399253706	9	150	0.475477837742913	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
21	DNAJC24	10	0.123263084752123	0.999066737629784	1	1.06862992055066	1.18702499443489	9	150	0.4737559426538	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
22	PICALM	10	0.0707167073663792	0.999906272960245	1	0.292303551697917	0.3295233744279	9	150	0.470072200827749	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
23	HDAC2	10	0.200585534845168	0.99377488979424	1	0.734155194488054	0.833829027656617	9	150	0.468215932354144	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
24	THY1	10	0.321117348253508	0.966946314977359	1	3.07035305596322	3.67115566170289	9	150	0.455440048296216	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
25	TLN2	10	0.367905433864493	0.948606567431843	1	0.440621179685976	0.543823909795014	9	150	0.447583297833581	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
26	SPICE1	10	1.54556363483139	0.137736181234128	1	0.4384880349747	0.555027734683825	9	150	0.441349849057162	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
27	NFKBIB	10	0.356195341777435	0.953636849462471	1	1.86275294837128	2.39210780054922	9	150	0.4377941038009	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
28	METTL26	10	1.19256783673917	0.304356210914742	1	0.822500664257663	1.08702742548854	9	150	0.430735043215301	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
29	MEF2A	10	0.307615588332828	0.971370696608322	1	0.739776491102147	1.04187929232869	9	150	0.415218527608964	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
30	FAXDC2	10	0.200197659149363	0.993819856516557	1	0.76484375133653	1.07899019696093	9	150	0.41481162229536	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
31	CENPV	10	0.272042322519812	0.981219810054237	1	0.300419463865648	0.424586374134186	9	150	0.414368337632224	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
