
Global Concordance Metrics: SAIT vs Conover-Iman Rank Transform
Metric                              Value       
Total genes compared                76          
Spearman correlation (p-values)     rho = 0.1097
Both methods significant (p < 0.05) 1 (1.3%)    
SAIT only significant               32 (42.1%)  
Rank test only significant          1 (1.3%)    
Neither significant                 42 (55.3%)  
Concordance rate                    1.3%        
Discordance rate                    43.4%       

Method Agreement Distribution
Agreement.Category  Number.of.Genes Percentage
Both significant    1               1.3%      
SAIT only           32              42.1%     
Rank test only      1               1.3%      
Neither significant 42              55.3%     

Robust Entropic Order Index Interactions: High-Confidence Genes Detected by Both Methods (n=1, ranked by statistical significance)
Gene   SAIT.adj.p Rank.test.adj.p SAIT.Effect Rank.test.rho.2
CXCL12 3.52e-86   2.020e-32       81.6%       0.066          

All Genes with Agreement Classification
Gene            SAIT.p               SAIT.adj.p           Rank.test.p          Rank.test.adj.p      SAIT.Effect         Rank.test.rho.2      Agreement          
CXCL12          4.63027061494089e-88 3.51900566735508e-86 2.62393761854023e-34 2.02043196627598e-32 0.815792060761544   0.0657407504156322   Both significant   
THY1            3.80314117520201e-32 2.8523558814015e-30  0.99997659226132     1                    0.60520807591571    0.00537107189419182  SAIT only          
MEF2A           1.32290628863472e-23 9.7895065358969e-22  0.889911477225142    1                    0.20033849848028    0.0144581005005694   SAIT only          
RAP1GDS1        6.85053006162536e-20 5.00088694498651e-18 0.12862010418246     1                    0.551563368959626   0.0186878705138481   SAIT only          
GSKIP           1.39784308687446e-18 1.00644702254961e-16 0.999999945953175    1                    0.310723599807749   0.000147690553566735 SAIT only          
DUOXA2          5.39703674561379e-12 3.83189608938579e-10 0.999999999999984    1                    0.306180013334311   0.00388528456095183  SAIT only          
ING3            6.94757558735389e-12 4.86330291114772e-10 0.0695354942833562   1                    0.358891477472799   0.0247105509500869   SAIT only          
EXOC1           1.24007516662222e-10 8.55651864969335e-09 0.0622496417585162   1                    0.238370772763012   0.00514383277467689  SAIT only          
THOC6           1.69018007698512e-10 1.14932245234988e-08 0.999216134904334    1                    0.1460382210088     0.00399783168651309  SAIT only          
HDAC2           2.64336906751778e-10 1.77105727523691e-08 0.999999999999821    1                    0.290384914832477   0.00604879984982901  SAIT only          
SRP72           1.12541704064407e-09 7.42775246825084e-08 0.99990861394507     1                    0.30458707395895    0.00302864533796177  SAIT only          
SYNM            3.17686182061874e-09 2.06496018340218e-07 0.972939422787175    1                    0.238719949934675   0.000412655856418048 SAIT only          
TMEM183A        1.04823368571226e-07 6.70869558855849e-06 0.99999999681897     1                    0.170333929131236   0.0130051048780499   SAIT only          
CENPV           2.53830249783151e-07 1.59913057363385e-05 0.630086235505176    1                    0.279165471522262   0.00803093669460591  SAIT only          
SNHG10          6.16740323403537e-07 3.82379000510193e-05 0.999999999998457    1                    0.0601456252318758  0.00236861566863924  SAIT only          
UBP1            9.04299189485309e-07 5.51622505586039e-05 0.999999999999995    1                    0.068905546568765   0.00250277829608637  SAIT only          
FAXDC2          1.08494070092841e-06 6.50964420557045e-05 0.999999999999971    1                    0.0887640937999802  0.00342811349306321  SAIT only          
ATG5            3.83411936208659e-06 0.000226213042363109 0.386206951022699    1                    0.436399851140021   0.0204328301904988   SAIT only          
GLB1L2          6.59423234436854e-06 0.000382465475973376 0.999998440977489    1                    0.180824532298209   0.00265066542934012  SAIT only          
ETFRF1          6.60803191287486e-06 0.000382465475973376 0.902679479609464    1                    0.403073726570511   0.00904438823436109  SAIT only          
SRPRA           6.60914160832452e-06 0.000382465475973376 0.999999999999999    1                    0.0606912622874248  0.00150679241845615  SAIT only          
SLC25A16        7.96281487249106e-06 0.000437954817987008 0.999999759865849    1                    0.179561623522488   0.00671544588159662  SAIT only          
CYP2W1          1.76101182092036e-05 0.000950946383296993 0.99987111026735     1                    0.579177618871643   0.00995064195148679  SAIT only          
IRF3            1.95984669747031e-05 0.00103871874965927  0.999999770505821    1                    0.0706072920478164  0.00531503243075532  SAIT only          
SPIRE2          2.06938784747408e-05 0.00107608168068652  1                    1                    0.0361148402114524  0.0013530560326778   SAIT only          
VRK2            2.27451382123379e-05 0.00116000204882923  0.999999999615946    1                    0.0619238758555992  0.00928230975216734  SAIT only          
HIGD1A          2.65229424186339e-05 0.0013261471209317   0.987960790970708    1                    0.413417015637571   0.0184268017074655   SAIT only          
ENSG00000274322 3.42041780909896e-05 0.00167600472645849  0.999998993054452    1                    0.0547268429179547  0.00286934049546832  SAIT only          
PNPT1           4.835569485359e-05   0.00232107335297232  0.97526954283701     1                    0.569047841144218   0.00897584190613561  SAIT only          
TLN2            6.84690191628913e-05 0.00321804390065589  0.999999756385435    1                    0.19325410597364    0.00902971109581783  SAIT only          
ANGEL2          9.61511333533214e-05 0.00442295213425278  0.999755510198814    1                    0.196600752842997   0.0106984379652769   SAIT only          
ASMTL           0.000104103601813984 0.00468466208162928  0.998535579069873    1                    0.0993222155451361  0.00521830416888813  SAIT only          
A4GALT          0.00096997777109349  0.0426790219281135   0.99999993201487     1                    0.187363033916606   0.00167951288839002  SAIT only          
PPP1R2          0.00165879248295716  0.0713280767671581   0.999999999998227    1                    0.142087103832668   0.00450340094337723  Neither significant
FAM114A2        0.00174568487775804  0.0733187648658376   0.317422735498656    1                    0.468897700632761   0.0233890570026451   Neither significant
EPB41L4A-AS1    0.00186470129112276  0.0764527529360332   0.999762842278156    1                    0.0182912846746482  0.0011379028796672   Neither significant
GDI1            0.00254140963784164  0.101656385513665    0.999983231975184    1                    0.253383586702492   0.00161228989061086  Neither significant
METTL26         0.00409375195711627  0.159656326327534    0.0817212372843165   1                    0.466277709480555   0.0168539268972727   Neither significant
ZNF710          0.00531413550215244  0.201937149081793    0.999999999974127    1                    0.102514049899953   0.00377396317463653  Neither significant
POLR2J4         0.0054028901856512   0.201937149081793    1                    1                    0.103899640026452   0.00525665020901699  Neither significant
PDE7A           0.0080603714122757   0.290173370841925    1                    1                    0.0116299036784683  0.00163745271476576  Neither significant
MCOLN1          0.00843810024832737  0.295333508691458    1                    1                    0.0132365812240536  0.00100287774255283  Neither significant
CCNE1           0.00929338676382282  0.315975149969976    0.89819295368232     1                    0.449464797844844   0.0144457106523058   Neither significant
CDH24           0.00988014888334137  0.326044913150265    0.991472550875498    1                    0.419581852244916   0.0098219316470203   Neither significant
ZNF714          0.0136722120877225   0.437510786807119    0.375443963062159    1                    0.506285288508341   0.0201127673847456   Neither significant
SPNS2           0.0194860930973131   0.604068886016707    1                    1                    0.0090997896914478  0.00155478741498836  Neither significant
SPICE1          0.0210905802961584   0.632717408884753    0.792203463506862    1                    0.564737552164428   0.0214406762726023   Neither significant
LINC03040       0.0221335555280917   0.64187311031466     1.70831240906638e-10 1.28123430679978e-08 0.739715296145545   0.0470378696017183   Rank test only     
SAR1B           0.0356333570788318   0.99773399820729     0.999999999999998    1                    0.0224886934326144  0.000600029595587474 Neither significant
NSA2            0.0567131217474136   1                    0.993044368309716    1                    0.00946511369550325 0.000174906195343903 Neither significant
CYBB            0.0629040084279706   1                    0.9999999974349      1                    0.162781484143885   0.0034730365375633   Neither significant
CCDC149         0.0797150363904044   1                    0.999999585947584    1                    0.159337576964414   0.00527007388114095  Neither significant
TMEM38A         0.0811802224175601   1                    0.999999966580876    1                    0.0519536220945214  0.000539294822846    Neither significant
TM7SF2          0.0821594361231442   1                    0.99999514185161     1                    0.258496438571059   0.00536501713867405  Neither significant
ZNF493          0.094499493764363    1                    0.999999986566813    1                    0.174143276510621   0.006028631379523    Neither significant
NFKBIB          0.0956127952332644   1                    0.497089540249083    1                    0.414717445030794   0.00525910389665536  Neither significant
NPY1R           0.156766747947973    1                    0.999999974614222    1                    0.249111131461535   0.00246144024045691  Neither significant
SH3PXD2A        0.163033635041386    1                    1                    1                    0.00323680680670525 0.000801297836358564 Neither significant
REG3A           0.165780247604134    1                    1                    1                    0.557628495005023   0.00513349474416352  Neither significant
USP38           0.235962550536253    1                    0.999999999999932    1                    0.018596666564663   0.00053323120057258  Neither significant
NCF1C           0.302948839632297    1                    1                    1                    0.0462517375892453  0.00121948382665362  Neither significant
ZFP90           0.338686040174254    1                    1                    1                    0.112473201985723   0.00103236292436505  Neither significant
ENSG00000254706 0.390787546524969    1                    0.999999999999423    1                    0.137161218198505   0.00422625732183381  Neither significant
PBX2            0.564011123400777    1                    1                    1                    0.00816403923875069 0.000643063508026521 Neither significant
IFIT3           0.629493767676346    1                    0.999999999999965    1                    0.00455335239184528 0.000225778895938916 Neither significant
DNAJC24         0.661472977322429    1                    0.999940377870725    1                    0.263032045912955   0.003844574396082    Neither significant
LINC02362       0.681111974649414    1                    0.999999999999649    1                    0.0730508020920706  0.00302141124050841  Neither significant
FOXJ2           0.681427225557771    1                    0.999999999359754    1                    0.29974773722923    0.00765067644310172  Neither significant
PMEPA1          0.69181350670526     1                    1                    1                    0.00547815430641843 4.74865478210353e-05 Neither significant
FBXO3           0.718893350408289    1                    1                    1                    0.00920927867247169 0.00109089121107314  Neither significant
PICALM          0.743658624765799    1                    1                    1                    0.00212100294474301 0.000320729871333776 Neither significant
MCC             0.913204629194035    1                    1                    1                    0.0160407194681299  0.000299919121466387 Neither significant
GIPR            0.915202048263044    1                    1                    1                    0.0757748426438099  0.00567150699323922  Neither significant
