q_0.01	q_0.05	q_0.1	q_0.15	q_0.2	q_0.25	q_0.3	q_0.35	q_0.4	q_0.45	q_0.5	q_0.55	q_0.6	q_0.65	q_0.7	q_0.75	q_0.8	q_0.85	q_0.9	q_0.95	q_1	q_1.05	q_1.1	q_1.15	q_1.2	q_1.25	q_1.3	q_1.35	q_1.4	q_1.45	q_1.5	q_1.55	q_1.6	q_1.65	q_1.7	q_1.75	q_1.8	q_1.85	q_1.9	q_1.95	q_2
FOXJ2	0.0437721597842075	0.0463267975567523	0.0495171702441097	0.0526762824551223	0.0557739992657195	0.058780735114497	0.0616681164623458	0.0644095714329839	0.0669808259851317	0.0693602942903187	0.0715293589444939	0.0734725436652258	0.0751775867072949	0.076635427125466	0.0778401182239458	0.0787886832421017	0.079480927834768	0.0799192225599044	0.0801082667268967	0.0800548428818846	0.0797675691449365	0.0788621707238923	0.0763467802351515	0.073694191526436	0.0709238936729099	0.0680561766907383	0.0651118205134991	0.0621117748064144	0.0590768386473479	0.0560273492423441	0.0529828885312661	0.0499620157860225	0.0469820331547189	0.0440587896352086	0.0412065272697485	0.0384377715513337	0.0357632662372913	0.0331919510848101	0.030730979547627	0.0283857722714235	0.0261601013393979
TMEM38A	0.148764442888785	0.157679172870503	0.168914910534496	0.18017370169455	0.19136965923411	0.202418115250918	0.213237495132801	0.22375097195444	0.233887843210116	0.243584596146974	0.252785651574571	0.261443796758722	0.269520334366555	0.276984985720916	0.283815592867185	0.28999766571798	0.295523818719635	0.300393137113555	0.304610506957066	0.308185936502619	0.311133890002607	0.311912402137342	0.306445855901547	0.300441763225637	0.293938880193884	0.286979604458707	0.279609406793754	0.271876202440496	0.263829677995599	0.255520591627691	0.247000065636822	0.238318890677884	0.229526860329934	0.2206721531505	0.211800777019775	0.202956087624032	0.194178389559446	0.185504624984222	0.176968151232586	0.168598605530694	0.160421852085987
GSR	0.0835865075245595	0.0880128034764328	0.0934895344175206	0.0988550195155879	0.104057838103936	0.109048705615048	0.113781547846469	0.118214409516364	0.122310169869593	0.126037053296252	0.129368936954257	0.132285469040628	0.134772019928304	0.136819493668709	0.138424029560868	0.139586623101031	0.140312693301426	0.140611619785734	0.140496268858844	0.139982523424637	0.139088827567708	0.137149703418904	0.13245163884238	0.127561657451013	0.122512151724213	0.117336423848002	0.112068203584737	0.106741157469852	0.101388402955001	0.0960420411930106	0.0907327215571035	0.0854892497274397	0.0803382493363216	0.0753038848590025	0.070407650823479	0.0656682296622481	0.0611014178166346	0.0567201171913344	0.0525343868779305	0.0485515483198821	0.0447763358355039
SNX4	0.063783682925571	0.0674440558906922	0.0720047435126972	0.0765079067055238	0.0809094665171484	0.085166299357919	0.0892372062897654	0.0930837721275023	0.0966710849164828	0.0999682983033757	0.102949030960551	0.105591607456106	0.107879153047205	0.109799560476308	0.111345349983426	0.112513444695621	0.113304882764223	0.113724485603145	0.11378049883695	0.113484219527093	0.112849620245184	0.111336053117088	0.107551791880313	0.1035823003577	0.0994568914785589	0.0952058618625178	0.0908600219879936	0.0864502178675967	0.0820068578694223	0.0775594583017357	0.0731362206826784	0.0687636522769541	0.0644662395790823	0.0602661820822609	0.0561831910491805	0.052234355268687	0.0484340731124806	0.0447940477561398	0.0413233403276103	0.0380284740859815	0.0349135815650187
GGH	0.161437277937413	0.168333888560085	0.176690814903077	0.184676273066827	0.192211087487608	0.199222762878218	0.205646950955105	0.21142856144867	0.216522498165977	0.220894026602917	0.224518801176682	0.227382596092316	0.229480793628431	0.230817687506992	0.231405657881907	0.231264269566647	0.230419337751135	0.22890199687493	0.226747799561061	0.223995864339271	0.220688083793401	0.215788980309298	0.206662488048099	0.197383842981329	0.188005314261822	0.178579266121874	0.169157413095991	0.159790086914714	0.150525536008695	0.141409277710301	0.132483521362571	0.123786677739768	0.115352966621468	0.107212130273686	0.0993892562432406	0.0919047085442205	0.0847741622722025	0.0780087331497281	0.0716151906574773	0.0655962413468337	0.0599508677008221
CCNE1	0.214616611504611	0.217070385881722	0.219758567705397	0.221988622093791	0.22372668882168	0.224945649727348	0.225625589306121	0.225753994566722	0.225325708231316	0.224342663069355	0.222813434691473	0.220752655217065	0.218180331170065	0.215121106472956	0.211603506449797	0.207659192317419	0.203322248654579	0.198628519530518	0.193615002871617	0.188319307559234	0.18277917381087	0.176150913254429	0.166349818917917	0.156732281362025	0.147322668584086	0.138145284494346	0.129223756629197	0.120580471753018	0.112236071297472	0.104209017057607	0.096515235428426	0.0891678458499688	0.0821769761989822	0.0755496648109242	0.0692898458337704	0.0633984118894599	0.0578733457064385	0.0527099106036655	0.0479008885209108	0.0434368537208993	0.0393064703085667
MCOLN1	0.0224908151929562	0.024035061256751	0.0259959511608647	0.0279748383800333	0.0299537823901047	0.0319143799848485	0.0338381808406769	0.0357070877816223	0.0375037255833651	0.0392117658951374	0.0408162000281048	0.0423035554747745	0.0436620556985038	0.0448817257079063	0.0459544480864085	0.0468739754804517	0.047635906148397	0.0482376291785164	0.048678245563536	0.0489584706329419	0.0490805225339004	0.0488038741021128	0.0475050200320187	0.0460899315472267	0.0445708217697525	0.0429608254725301	0.0412737751538455	0.0395239631458086	0.0377258967902822	0.0358940540411809	0.0340426468153679	0.0321853990121452	0.0303353453785512	0.0285046563653451	0.0267044928689222	0.0249448933736647	0.0232346945891809	0.0215814853063596	0.0199915919533905	0.0184700932797003	0.0170208607738785
FBXO3	0.00581615507605687	0.00618019777720283	0.00663644545955274	0.00708974577929609	0.00753543538432008	0.00796887113075659	0.00838553912974717	0.00878115527429943	0.00915175342454602	0.00949375859216768	0.00980404367034967	0.0100799693791102	0.0103194080446562	0.0105207525522589	0.0106829122889565	0.0108052981398617	0.0108877986555156	0.0109307494140555	0.0109348974097406	0.0109013620532614	0.0108315941060534	0.0106739404790945	0.010295658205833	0.00989740902703642	0.00948251458051713	0.00905439354875847	0.00861650498346176	0.00817229148525189	0.007725123894985	0.00727824910238869	0.00683474244773788	0.00639746598984994	0.00596903365142766	0.00555178394777833	0.00514776067723112	0.00475870162217558	0.00438603499868608	0.00403088311762251	0.00369407249436385	0.00337614947659112	0.00307740035339569
SLC25A16	0.00243372493127398	0.00258194606798689	0.00276705106386748	0.002950186720045	0.0031294268356071	0.00330286900394855	0.00346867953053136	0.00362513429299598	0.00377065402327568	0.00390383299403897	0.00402346060326848	0.00412853581955547	0.00421827483968308	0.00429211259908271	0.00434969896016858	0.00439089049142329	0.00441573875769753	0.00442447598992185	0.00441749891118625	0.00439535138472197	0.00435870643290821	0.00428690413293466	0.00412694089901815	0.00395960816729643	0.00378627564075379	0.003608341044712	0.00342720730753804	0.00324425995024487	0.0030608453383888	0.0028782504194906	0.00269768450824318	0.00252026359335905	0.00234699752951935	0.0021787803526295	0.00201638382460999	0.00186045418357964	0.00171151195435965	0.00156995456933828	0.00143606146582122	0.00131000126600203	0.00119184061056708
ZNF710	0.00719715174392634	0.00762579113386537	0.008159564823639	0.00868586355136168	0.00919906413581138	0.00969364898092492	0.0101643367768071	0.0106062000820336	0.0110147654945012	0.0113860936383255	0.0117168377185705	0.0120042807738648	0.0122463528841887	0.0124416304125358	0.0125893198663867	0.0126892291860456	0.0127417292533165	0.0127477082282936	0.0127085210267898	0.0126259359019338	0.0125020797350598	0.012277966514288	0.0118024571587481	0.0113073675113388	0.0107966833115363	0.010274445741131	0.00974468634756093	0.0092113631480043	0.00867829974600798	0.00814912918538382	0.00762724407395559	0.00711575424305763	0.00661745288392424	0.00613479174008161	0.00566986555883425	0.005224405638442	0.00479978197225579	0.00439701320488529	0.00401678339135818	0.00365946439550864	0.00332514268009023
