	gene	sample	q_value	diversity
1	FOXJ2	SRR14800481	q_0.000	0.666666666666667
2	TMEM38A	SRR14800481	q_0.000	1
3	CCNE1	SRR14800481	q_0.000	0.333333333333333
4	MCOLN1	SRR14800481	q_0.000	1
5	FBXO3	SRR14800481	q_0.000	1
6	SLC25A16	SRR14800481	q_0.000	0.8
7	ZNF710	SRR14800481	q_0.000	1
8	TM7SF2	SRR14800481	q_0.000	1
9	UBP1	SRR14800481	q_0.000	1
10	SPICE1	SRR14800481	q_0.000	1
11	NPY1R	SRR14800481	q_0.000	1
12	CENPV	SRR14800481	q_0.000	1
13	METTL26	SRR14800481	q_0.000	0.6
14	MCC	SRR14800481	q_0.000	1
15	REG3A	SRR14800481	q_0.000	NA
16	USP38	SRR14800481	q_0.000	1
17	CYP2W1	SRR14800481	q_0.000	1
18	NFKBIB	SRR14800481	q_0.000	1
19	ING3	SRR14800481	q_0.000	0.8
20	HIGD1A	SRR14800481	q_0.000	1
21	DUOXA2	SRR14800481	q_0.000	0
22	CCDC149	SRR14800481	q_0.000	0.5
23	FAXDC2	SRR14800481	q_0.000	1
24	THOC6	SRR14800481	q_0.000	1
25	POLR2J4	SRR14800481	q_0.000	1
26	SYNM	SRR14800481	q_0.000	0
27	SPNS2	SRR14800481	q_0.000	1
28	SRPRA	SRR14800481	q_0.000	1
29	LINC03040	SRR14800481	q_0.000	0.5
30	RAP1GDS1	SRR14800481	q_0.000	0.857142857142857
31	ZNF493	SRR14800481	q_0.000	1
32	VRK2	SRR14800481	q_0.000	1
33	PMEPA1	SRR14800481	q_0.000	1
34	CXCL12	SRR14800481	q_0.000	1
35	EXOC1	SRR14800481	q_0.000	0.75
36	FAM114A2	SRR14800481	q_0.000	0.8
37	ANGEL2	SRR14800481	q_0.000	1
38	TMEM183A	SRR14800481	q_0.000	0.833333333333333
39	HDAC2	SRR14800481	q_0.000	0.4
40	ATG5	SRR14800481	q_0.000	1
41	SH3PXD2A	SRR14800481	q_0.000	1
42	IFIT3	SRR14800481	q_0.000	1
43	PBX2	SRR14800481	q_0.000	1
44	IRF3	SRR14800481	q_0.000	0.75
45	SPIRE2	SRR14800481	q_0.000	1
46	CYBB	SRR14800481	q_0.000	1
47	ASMTL	SRR14800481	q_0.000	1
48	ETFRF1	SRR14800481	q_0.000	1
49	PDE7A	SRR14800481	q_0.000	1
50	CDH24	SRR14800481	q_0.000	1
51	RELCH	SRR14800481	q_0.000	1
52	ZFP90	SRR14800481	q_0.000	0.6
53	SAR1B	SRR14800481	q_0.000	0.75
54	PPP1R2	SRR14800481	q_0.000	1
55	ENSG00000254706	SRR14800481	q_0.000	1
56	GSKIP	SRR14800481	q_0.000	1
57	GDI1	SRR14800481	q_0.000	1
58	PNPT1	SRR14800481	q_0.000	0.25
59	ZNF714	SRR14800481	q_0.000	1
60	SLC9A7	SRR14800481	q_0.000	0
61	DNAJC24	SRR14800481	q_0.000	1
62	TLN2	SRR14800481	q_0.000	0.875
63	SRP72	SRR14800481	q_0.000	0.75
64	NSA2	SRR14800481	q_0.000	1
65	THY1	SRR14800481	q_0.000	0.5
66	PICALM	SRR14800481	q_0.000	0.75
67	GLB1L2	SRR14800481	q_0.000	1
68	SNHG10	SRR14800481	q_0.000	1
69	MEF2A	SRR14800481	q_0.000	1
70	GIPR	SRR14800481	q_0.000	1
71	LINC02362	SRR14800481	q_0.000	0.8
72	ENSG00000274322	SRR14800481	q_0.000	1
73	ENSG00000291072	SRR14800481	q_0.000	1
