gene	p_value_interaction	slope_diff	effect_size_D_q0_01	effect_size_D_q0_05	effect_size_D_q0_1	effect_size_D_q0_15	effect_size_D_q0_2	effect_size_D_q0_25	effect_size_D_q0_3	effect_size_D_q0_35	effect_size_D_q0_4	effect_size_D_q0_45	effect_size_D_q0_5	effect_size_D_q0_55	effect_size_D_q0_6	effect_size_D_q0_65	effect_size_D_q0_7	effect_size_D_q0_75	effect_size_D_q0_8	effect_size_D_q0_85	effect_size_D_q0_9	effect_size_D_q0_95	effect_size_D_q1	effect_size_D_q1_05	effect_size_D_q1_1	effect_size_D_q1_15	effect_size_D_q1_2	effect_size_D_q1_25	effect_size_D_q1_3	effect_size_D_q1_35	effect_size_D_q1_4	effect_size_D_q1_45	effect_size_D_q1_5	effect_size_D_q1_55	effect_size_D_q1_6	effect_size_D_q1_65	effect_size_D_q1_7	effect_size_D_q1_75	effect_size_D_q1_8	effect_size_D_q1_85	effect_size_D_q1_9	effect_size_D_q1_95	effect_size_D_q2	per_q_pattern	div_rare_median	div_abundant_median	q_ratio
CXCL12	3.51900566735508e-86	-0.332213150846578	0.188658573097881	0.199498805608275	0.21309760754298	0.226648712057192	0.240043044366366	0.253173678402067	0.265938121880078	0.278240310614211	0.289992246273158	0.301115242181753	0.311540770783894	0.321210931340251	0.330078575621861	0.338107142075846	0.345270255353345	0.351551149019695	0.356941965911605	0.361442984298853	0.36506181002354	0.3678125662168	0.36971510387004	0.36894869548442	0.360745868023433	0.351897825256454	0.342460185393617	0.332493263477177	0.322061247709981	0.311231291165333	0.300072542612518	0.28865514314402	0.277049216978715	0.265323885099903	0.25354632923605	0.241780931185722	0.230088508810617	0.218525665440156	0.207144264272454	0.19599103396823	0.185107306355784	0.174528882298533	0.16428601756354	Balanced	0.306328006482823	0.271186551039309	1.12958406421276
THY1	2.8523558814015e-30	0.24741489855625	0.086000210334135	0.0914508331885157	0.0983175070082676	0.105185608888361	0.111991521206036	0.118671383744056	0.125162533088653	0.131404836875579	0.137341872424819	0.142921914614739	0.148098713743894	0.152832058941459	0.157088135179231	0.160839691391918	0.164066043409812	0.166752938540903	0.168892309180956	0.170481941402441	0.171525081731873	0.172030001873998	0.172009537479926	0.170627103403838	0.165716958677148	0.160454008256856	0.154880054046482	0.149039378507172	0.142978030509685	0.136743076693144	0.130381839877141	0.123941146820147	0.11746660726984	0.11100194481178	0.104588397578227	0.0982642035928595	0.0920641816251205	0.0860194141748851	0.0801570348825023	0.0745001185275604	0.0690676680735818	0.0638746901152119	0.058932347707348	Balanced	0.145510314179317	0.11423427604081	1.27378856173898
MEF2A	9.7895065358969e-22	-0.126772219465281	0.0251844164417094	0.0265418477606294	0.0282140248146312	0.0298419687498161	0.0314079289757608	0.032894933759941	0.0342871861704485	0.0355704026600609	0.0367320833282038	0.037761708285893	0.0386508596281053	0.0393932728390848	0.0399848247417362	0.0404234672505785	0.0407091172464816	0.0408435130161136	0.0408300471058015	0.0406735843623105	0.0403802725908271	0.0399573518361843	0.0394129669242731	0.03856308657359	0.0369377839009568	0.035267720409968	0.0335651009525436	0.0318421034847174	0.0301106955288727	0.0283824575861046	0.0266684184216151	0.0249789067393099	0.0233234231307604	0.0217105353632344	0.0201477991115756	0.0186417051998986	0.0171976533670146	0.0158199515686574	0.0145118389375429	0.0132755297850169	0.0121122754766588	0.0110224406636645	0.0100055902012933	Rare driven	0.0382062839569991	0.0225169792469974	1.69677662078468
RAP1GDS1	5.00088694498651e-18	0.124004479628724	0.0102055023945774	0.0108339851802079	0.0116204419685183	0.0124004597365545	0.0131660093835157	0.0139091278332434	0.0146221044534245	0.0152976516452254	0.0159290532170849	0.016510286201678	0.0170361138708454	0.0175021496354631	0.0179048931306011	0.0182417409941533	0.0185109756273708	0.0187117356085826	0.0188439714819989	0.0189083904447168	0.0189063930924208	0.0188400049353696	0.0187118049241903	0.0184326490590989	0.0177735108912731	0.0170809903460131	0.0163607643122405	0.0156186654842962	0.0148605867085195	0.0140923852082407	0.0133197894672389	0.0125483114647071	0.0117831667346609	0.0110292043811809	0.0102908487390013	0.00957205385551447	0.00887627141890882	0.00820643220324549	0.00756494057862202	0.00695368117248429	0.00637403638922298	0.00582691321393758	0.00531277754870377	Rare driven	0.0167732000362617	0.0114061855579209	1.47053543457512
GSKIP	1.00644702254961e-16	0.135278397534021	0.13643173550383	0.143594616509314	0.152486436354405	0.161236206381975	0.169766386010995	0.178002264387228	0.18587352141665	0.193315551500026	0.20027051139878	0.206688075633658	0.212525903007685	0.217749834523125	0.222333855128492	0.226259859106869	0.229517261820615	0.232102499695415	0.234018456713047	0.235273850286364	0.235882603126492	0.235863221331022	0.23523819297505	0.232868562221249	0.225809558933944	0.218393730356527	0.21066759152876	0.202680067616909	0.194481788123664	0.186124340838045	0.177659506368409	0.169138495304348	0.160611210167794	0.152125553309059	0.143726799836323	0.135457051676457	0.127354785159725	0.119454500357406	0.111786476059181	0.104376630031983	0.0972464803015338	0.0904131998427355	0.0838897543964459	Rare driven	0.209606989320672	0.156368381738426	1.34046913442708
DUOXA2	3.83189608938579e-10	0.405495436334165	0.663739298002854	0.661887184674485	0.659697404056162	0.65758636074497	0.655487736569895	0.653334947282336	0.651062409684475	0.6486067232068	0.645907725721698	0.64290939606944	0.639560588695953	0.635815597610474	0.631634556599021	0.626983689749192	0.621835430740155	0.616168431248214	0.609967478654623	0.603223341570549	0.595932559081533	0.588097186573811	0.57972450795509	0.567985546500731	0.545787043306374	0.523691240835863	0.501704743743174	0.479846648908839	0.458146558346644	0.436642587908606	0.415379395917502	0.394406260562257	0.373775237526294	0.353539429767664	0.333751399675319	0.314461750186833	0.295717896205557	0.277563041240049	0.260035367106652	0.243167437301295	0.226985807739915	0.211510832398136	0.196756646260798	Rare driven	0.641234992382696	0.363657333646979	1.76329454421281
ING3	4.86330291114772e-10	0.11123825470056	0.00717018923627774	0.00762667413263798	0.00820007635836637	0.00877131056421246	0.00933459349681139	0.0098841366251177	0.0104142814368697	0.0109196252212292	0.0113951324967439	0.0118362286403244	0.0122388737398072	0.0125996160743022	0.0129156258062299	0.0131847103772538	0.013405313713582	0.0135765016789073	0.013697936306473	0.0137698412507933	0.0137929606833897	0.0137685135702809	0.0136981449573532	0.0135162645873934	0.0130541276188802	0.0125653980218607	0.0120541965986032	0.0115247901722733	0.010981520182994	0.0104287305131364	0.00987069665799139	0.00931155831602348	0.00875525732843468	0.00820548265828503	0.00766562377980623	0.00713873346981833	0.00662750058038221	0.00613423295176257	0.0056608502234336	0.00520888594114236	0.00477949805801922	0.00437348669947996	0.00399131791089113	Rare driven	0.0120375511900658	0.00848036999335985	1.41946061309721
EXOC1	8.55651864969335e-09	0.101774970305238	0.0232270495188471	0.0245802295498185	0.0262644406465539	0.0279245820499762	0.0295434838242892	0.0311043437941577	0.0325911166487664	0.0339888610051954	0.0352840321642282	0.0364647129641632	0.0375207797495476	0.0384440045777021	0.0392280980839492	0.0398686997685317	0.040363323846278	0.0407112693137448	0.0409135027050274	0.0409725213228986	0.0408922037402123	0.0406776532368474	0.0403350387034391	0.0396729844680184	0.0382004593972519	0.0366643584090333	0.0350765814054614	0.0334492725484011	0.0317946278105832	0.0301247034820721	0.0284512311205899	0.0267854442325481	0.0251379215079728	0.0235184507312214	0.021935916593472	0.0203982146003568	0.0189121921661035	0.017483616884445	0.0161171709332014	0.0148164696614025	0.0135841016690692	0.0124216871480309	0.0113299509182428	Rare driven	0.0369927463568554	0.0243281861195971	1.52057149575392
THOC6	1.14932245234988e-08	0.16377909081837	0.030756007577951	0.0322947391945733	0.0341719348492387	0.0359779326624202	0.0376922487487235	0.039295704597753	0.0407708734681506	0.0421024466760097	0.0432775091519145	0.0442857203759718	0.0451194029136939	0.0457735457674944	0.0462457333529623	0.0465360130463678	0.046646715046334	0.0465822379834007	0.046348812590108	0.0459542541120655	0.0454077122672527	0.0447194256635597	0.0439004858188885	0.0427487766458328	0.0407506905205458	0.0387207523744945	0.0366729761483046	0.0346210950011505	0.0325783632647159	0.0305573714950678	0.0285698796711661	0.0266266729527817	0.0247374435538165	0.0229107012579174	0.0211537139643859	0.0194724784746069	0.0178717205853028	0.0163549225127236	0.0149243747884847	0.0135812490850002	0.0123256879703608	0.0111569073648195	0.0100733074626206	Rare driven	0.0445025730197658	0.0238240724058669	1.86796666252603
HDAC2	1.77105727523691e-08	0.100436532826208	0.0405751220519641	0.0429065500896959	0.0458052234985594	0.0486591978070904	0.0514392204549328	0.0541167716951018	0.0566647209149999	0.0590579069802314	0.0612736225018967	0.0632919900566622	0.065096226319161	0.0666727970482365	0.0680114714022986	0.0691052879128144	0.069950446626328	0.070546142623547	0.070894355639388	0.0709996091857743	0.0708687107558753	0.0705104826556868	0.0699354909933007	0.0688115695816676	0.0662859075553114	0.0636528429938656	0.0609323033007951	0.0581446275569612	0.0553102498633901	0.0524493836934462	0.0495817162195806	0.0467261212896725	0.0439003990084147	0.0411210487670503	0.0384030811277678	0.0357598722998871	0.0332030631524402	0.0307425029064718	0.0283862359501667	0.0261405287161941	0.0240099323271684	0.0219973757994325	0.0201042840174989	Rare driven	0.0641941081879116	0.0425107238877325	1.5100685736955
