gene	gene_name	n_transcripts	max_delta_influence	n_switching_transcripts	n_fdr_significant	q_value
ENSG00000122912.16	SLC25A16	6	0.139527656637812	0	3	0
ENSG00000153560.13	UBP1	4	0.0901684400555602	0	1	0
ENSG00000166582.12	CENPV	5	0	0	0	0
ENSG00000073067.14	CYP2W1	2	0.721347520444482	0	0	0
ENSG00000071243.17	ING3	6	0.209291484956718	4	2	0
ENSG00000181061.15	HIGD1A	3	0.227559806656709	0	1	0
ENSG00000140274.15	DUOXA2	2	0.961796693925976	2	2	0
ENSG00000170271.12	FAXDC2	5	0.155333733639903	3	2	0
ENSG00000131652.15	THOC6	3	0.113779903328355	0	1	0
ENSG00000182253.15	SYNM	2	0	0	0	0
ENSG00000182934.13	SRPRA	3	0.113779903328355	0	1	0
ENSG00000138698.16	RAP1GDS1	8	0.240449173481494	3	3	0
ENSG00000028116.19	VRK2	5	0	0	0	0
ENSG00000107562.18	CXCL12	3	0.113779903328355	0	1	0
ENSG00000090989.19	EXOC1	5	0.155333733639903	1	2	0
ENSG00000174606.15	ANGEL2	7	0.0642372927962189	0	2	0
ENSG00000163444.13	TMEM183A	7	0.128474585592438	0	2	0
ENSG00000196591.13	HDAC2	6	0.279055313275624	1	3	0
ENSG00000057663.17	ATG5	5	0	0	0	0
ENSG00000126456.17	IRF3	5	0.0776668668199515	0	1	0
ENSG00000204991.12	SPIRE2	6	0.0697638283189059	0	1	0
ENSG00000169093.17	ASMTL	2	0.18033688011112	0	0	0
ENSG00000205707.12	ETFRF1	3	0	0	0	0
ENSG00000100744.16	GSKIP	3	0.227559806656709	0	0	0
ENSG00000138035.16	PNPT1	5	0.388334334099758	1	2	0
ENSG00000171914.18	TLN2	9	0.284449758320887	3	3	0
ENSG00000174780.18	SRP72	5	0	0	0	0
ENSG00000154096.15	THY1	3	0.568899516641773	3	1	0
ENSG00000149328.17	GLB1L2	3	0	0	0	0
ENSG00000247092.10	SNHG10	4	0.0901684400555602	0	2	0
ENSG00000068305.20	MEF2A	5	0.233000600459854	0	2	0
ENSG00000274322.1	ENSG00000274322	2	0.18033688011112	0	0	0
ENSG00000128274.18	A4GALT	4	0.270505320166681	2	1	0
ENSG00000122912.16	SLC25A16	6	0.0428269350292545	1	0	0.5
ENSG00000153560.13	UBP1	4	0.0184447482823322	0	0	0.5
ENSG00000166582.12	CENPV	5	0.018883999012312	1	0	0.5
ENSG00000073067.14	CYP2W1	2	0.255500022368998	0	0	0.5
ENSG00000071243.17	ING3	6	0.0577981424486508	5	1	0.5
ENSG00000181061.15	HIGD1A	3	0.135146600500205	0	0	0.5
ENSG00000140274.15	DUOXA2	2	0.311521852067297	1	1	0.5
ENSG00000170271.12	FAXDC2	5	0.0658322765311648	3	0	0.5
ENSG00000131652.15	THOC6	3	0.0362118901677177	0	0	0.5
ENSG00000182253.15	SYNM	2	0.0358099884706781	0	0	0.5
ENSG00000182934.13	SRPRA	3	0.0151002079910565	0	0	0.5
ENSG00000138698.16	RAP1GDS1	8	0.0421155171392926	3	2	0.5
ENSG00000028116.19	VRK2	5	0.0278820055277556	2	0	0.5
ENSG00000107562.18	CXCL12	3	0.163872404744268	0	1	0.5
ENSG00000090989.19	EXOC1	5	0.0446221582259557	0	0	0.5
ENSG00000174606.15	ANGEL2	7	0.0260397144568318	2	1	0.5
ENSG00000163444.13	TMEM183A	7	0.0249791896904407	2	0	0.5
ENSG00000196591.13	HDAC2	6	0.0572211339764329	2	1	0.5
ENSG00000057663.17	ATG5	5	0.0555770020603285	1	1	0.5
ENSG00000126456.17	IRF3	5	0.0420774093859859	2	0	0.5
ENSG00000204991.12	SPIRE2	6	0.0207154844814437	0	0	0.5
ENSG00000169093.17	ASMTL	2	0.0787870201492501	1	0	0.5
ENSG00000205707.12	ETFRF1	3	0.0707450075372851	0	0	0.5
ENSG00000100744.16	GSKIP	3	0.0890098958519303	0	0	0.5
ENSG00000138035.16	PNPT1	5	0.135672261959026	0	1	0.5
ENSG00000171914.18	TLN2	9	0.0518924005202726	1	2	0.5
ENSG00000174780.18	SRP72	5	0.0357552769434843	0	0	0.5
ENSG00000154096.15	THY1	3	0.0751193965862556	1	0	0.5
ENSG00000149328.17	GLB1L2	3	0.0812603412202672	0	0	0.5
ENSG00000247092.10	SNHG10	4	0.044118924525858	0	0	0.5
ENSG00000068305.20	MEF2A	5	0.0717883613062921	2	0	0.5
ENSG00000274322.1	ENSG00000274322	2	0.0980267562116573	0	0	0.5
ENSG00000128274.18	A4GALT	4	0.105172410121777	0	1	0.5
ENSG00000122912.16	SLC25A16	6	0.0352740476415443	1	1	1
ENSG00000153560.13	UBP1	4	0.0197198161518792	1	0	1
ENSG00000166582.12	CENPV	5	0.0181383480700094	1	0	1
ENSG00000073067.14	CYP2W1	2	0.346977029300313	0	0	1
ENSG00000071243.17	ING3	6	0.040152000444992	4	1	1
ENSG00000181061.15	HIGD1A	3	0.134792178609039	0	0	1
ENSG00000140274.15	DUOXA2	2	0.362631407479441	1	1	1
ENSG00000170271.12	FAXDC2	5	0.128751482677245	3	0	1
ENSG00000131652.15	THOC6	3	0.0351015233258924	0	0	1
ENSG00000182253.15	SYNM	2	0.0556289471658055	0	0	1
ENSG00000182934.13	SRPRA	3	0.0245426588586488	0	0	1
ENSG00000138698.16	RAP1GDS1	8	0.0389692424531413	1	1	1
ENSG00000028116.19	VRK2	5	0.0234377242341989	2	0	1
ENSG00000107562.18	CXCL12	3	0.156304496230007	0	1	1
ENSG00000090989.19	EXOC1	5	0.0618208652515062	1	0	1
ENSG00000174606.15	ANGEL2	7	0.0305545536015872	2	1	1
ENSG00000163444.13	TMEM183A	7	0.0421877101489722	2	1	1
