	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
1	CXCL12	41	9.76090401669411	2.62393761854023e-34	2.02043196627598e-32	8031834.01219513	5904003.25	40	615	0.0657407504156322	Moderately q-dependent	art_paired	FALSE	FALSE	FALSE
2	PLP1	41	4.6613197292799	4.53659682121829e-15	3.4478135841259e-13	4438966.57621951	6832739.875	40	615	0.0363534792466932	Moderately q-dependent	art_paired	FALSE	FALSE	FALSE
3	LINC03040	41	3.58940324064702	1.70831240906638e-10	1.28123430679978e-08	4407560.74695122	8810447.375	40	615	0.0470378696017183	Moderately q-dependent	art_paired	FALSE	FALSE	FALSE
4	ING3	41	1.38535138468328	0.0695354942833562	1	2688299.94512195	13923220	40	615	0.0247105509500869	Robust across q	art_paired	FALSE	FALSE	FALSE
5	FAM114A2	41	1.10297595807352	0.317422735498656	1	1740316.72256098	11320983.375	40	615	0.0233890570026451	Robust across q	art_paired	FALSE	FALSE	FALSE
6	SPICE1	41	0.806607033368597	0.792203463506862	1	1403827.25609756	12487444.5	40	615	0.0214406762726023	Robust across q	art_paired	FALSE	FALSE	FALSE
7	ATG5	41	1.05593063406804	0.386206951022699	1	1855644.29878049	12609017.5	40	615	0.0204328301904988	Robust across q	art_paired	FALSE	FALSE	FALSE
8	ZNF714	41	1.06298856673685	0.375443963062159	1	1551796.17378049	10474371.875	40	615	0.0201127673847456	Robust across q	art_paired	FALSE	FALSE	FALSE
9	RAP1GDS1	41	1.28246413414358	0.12862010418246	1	1536686.19512195	8597295.75	40	615	0.0186878705138481	Robust across q	art_paired	FALSE	FALSE	FALSE
10	HIGD1A	41	0.550317166238196	0.987960790970708	1	1007583.68597561	13136811.625	40	615	0.0184268017074655	Robust across q	art_paired	FALSE	FALSE	FALSE
11	METTL26	41	1.35933733068807	0.0817212372843165	1	1926095.81402439	10166525.375	40	615	0.0168539268972727	Robust across q	art_paired	FALSE	FALSE	FALSE
12	MEF2A	41	0.725850846678489	0.889911477225142	1	297313.109756098	2938925.5	40	615	0.0144581005005694	Robust across q	art_paired	FALSE	FALSE	FALSE
13	CCNE1	41	0.717360512409861	0.89819295368232	1	982549.597560975	9827406.5	40	615	0.0144457106523058	Robust across q	art_paired	FALSE	FALSE	FALSE
14	TMEM183A	41	0.176979081849682	0.99999999681897	1	342843.93902439	13899412.5	40	615	0.0130051048780499	Robust across q	art_paired	FALSE	FALSE	FALSE
15	ANGEL2	41	0.384465709021293	0.999755510198814	1	685597.599847561	12794802.40625	40	615	0.0106984379652769	Robust across q	art_paired	FALSE	FALSE	FALSE
16	CYP2W1	41	0.365184487202448	0.99987111026735	1	357535.112804877	7024708.125	40	615	0.00995064195148679	Robust across q	art_paired	FALSE	FALSE	FALSE
17	CDH24	41	0.530709288751899	0.991472550875498	1	755505.881097561	10214169.625	40	615	0.0098219316470203	Robust across q	art_paired	FALSE	FALSE	FALSE
18	VRK2	41	0.155701688743687	0.999999999615946	1	418999.201219513	19308199.5	40	615	0.00928230975216734	Robust across q	art_paired	FALSE	FALSE	FALSE
19	ETFRF1	41	0.712582390446919	0.902679479609464	1	701976.756097561	7068211.75	40	615	0.00904438823436109	Robust across q	art_paired	FALSE	FALSE	FALSE
20	TLN2	41	0.233121959602181	0.999999756385435	1	501688.265243902	15440901.875	40	615	0.00902971109581783	Robust across q	art_paired	FALSE	FALSE	FALSE
21	PNPT1	41	0.596336207831288	0.97526954283701	1	368886.451219512	4438369.25	40	615	0.00897584190613561	Robust across q	art_paired	FALSE	FALSE	FALSE
22	CENPV	41	0.909386178670162	0.630086235505176	1	822731.054878049	6491296.5	40	615	0.00803093669460591	Robust across q	art_paired	FALSE	FALSE	FALSE
23	FOXJ2	41	0.160549571741586	0.999999999359754	1	252951.774390244	11304477.25	40	615	0.00765067644310172	Robust across q	art_paired	FALSE	FALSE	FALSE
24	SLC25A16	41	0.232900813170277	0.999999759865849	1	298494.024390244	9195737	40	615	0.00671544588159662	Robust across q	art_paired	FALSE	FALSE	FALSE
25	HDAC2	41	0.100007766291325	0.999999999999821	1	148665.003048781	10665885.625	40	615	0.00604879984982901	Robust across q	art_paired	FALSE	FALSE	FALSE
26	ZNF493	41	0.193522892804974	0.999999986566813	1	386478.048780488	14328950.75	40	615	0.006028631379523	Robust across q	art_paired	FALSE	FALSE	FALSE
27	GIPR	41	0.0235460754564239	1	1	20847.7530487804	6352762.625	40	615	0.00567150699323922	Robust across q	art_paired	FALSE	FALSE	FALSE
28	THY1	41	0.320434924790627	0.99997659226132	1	229389.844512195	5136369.375	40	615	0.00537107189419182	Robust across q	art_paired	FALSE	FALSE	FALSE
29	TM7SF2	41	0.285926964469602	0.99999514185161	1	510474.679878049	12809760.125	40	615	0.00536501713867405	Robust across q	art_paired	FALSE	FALSE	FALSE
30	IRF3	41	0.232206097154085	0.999999770505821	1	130946.43902439	4046150	40	615	0.00531503243075532	Robust across q	art_paired	FALSE	FALSE	FALSE
31	CCDC149	41	0.241468887270252	0.999999585947584	1	449360.368902439	13352281.875	40	615	0.00527007388114095	Robust across q	art_paired	FALSE	FALSE	FALSE
32	NFKBIB	41	0.987402813404436	0.497089540249083	1	452271.137195122	3286445.375	40	615	0.00525910389665536	Robust across q	art_paired	FALSE	FALSE	FALSE
33	POLR2J4	41	0.0491927772779687	1	1	108175.87195122	15777964.25	40	615	0.00525665020901699	Robust across q	art_paired	FALSE	FALSE	FALSE
34	ASMTL	41	0.44803864040973	0.998535579069873	1	848872.975609755	13594058.75	40	615	0.00521830416888813	Robust across q	art_paired	FALSE	FALSE	FALSE
35	EXOC1	41	1.40283635039406	0.0622496417585162	1	479983.487804878	2454941.75	40	615	0.00514383277467689	Robust across q	art_paired	FALSE	FALSE	FALSE
36	REG3A	41	0.0177073929655737	1	1	25913.5121951219	10500103	40	615	0.00513349474416352	Robust across q	art_paired	FALSE	FALSE	FALSE
37	PPP1R2	41	0.113831694562182	0.999999999998227	1	172087.929878049	10846986.875	40	615	0.00450340094337723	Robust across q	art_paired	FALSE	FALSE	FALSE
38	ENSG00000254706	41	0.106816852621233	0.999999999999423	1	184619.923780488	12401113.875	40	615	0.00422625732183381	Robust across q	art_paired	FALSE	FALSE	FALSE
39	THOC6	41	0.423987175632548	0.999216134904334	1	406987.402439024	6887318.25	40	615	0.00399783168651309	Robust across q	art_paired	FALSE	FALSE	FALSE
40	DUOXA2	41	0.0875278609678096	0.999999999999984	1	97815.6493902438	8018330.125	40	615	0.00388528456095183	Robust across q	art_paired	FALSE	FALSE	FALSE
41	DNAJC24	41	0.34387414125579	0.999940377870725	1	326070.381097561	6803521.125	40	615	0.003844574396082	Robust across q	art_paired	FALSE	FALSE	FALSE
42	ZNF710	41	0.132804061822614	0.999999999974127	1	134634.326219512	7273883.625	40	615	0.00377396317463653	Robust across q	art_paired	FALSE	FALSE	FALSE
43	CYBB	41	0.174658943895167	0.9999999974349	1	391881.262195122	16098506	40	615	0.0034730365375633	Robust across q	art_paired	FALSE	FALSE	FALSE
44	FAXDC2	41	0.0904507599926074	0.999999999999971	1	191807.902439024	15215148	40	615	0.00342811349306321	Robust across q	art_paired	FALSE	FALSE	FALSE
45	SRP72	41	0.355438402642839	0.99990861394507	1	251077.594512195	5068337.375	40	615	0.00302864533796177	Robust across q	art_paired	FALSE	FALSE	FALSE
46	LINC02362	41	0.103865082816936	0.999999999999649	1	103889.179878049	7176664.625	40	615	0.00302141124050841	Robust across q	art_paired	FALSE	FALSE	FALSE
47	ENSG00000274322	41	0.256361234758789	0.999998993054452	1	550728.201219512	15413698.75	40	615	0.00286934049546832	Robust across q	art_paired	FALSE	FALSE	FALSE
48	GLB1L2	41	0.264139052615296	0.999998440977489	1	498387.56402439	13538061.625	40	615	0.00265066542934012	Robust across q	art_paired	FALSE	FALSE	FALSE
49	UBP1	41	0.0819036812073654	0.999999999999995	1	98543.3201219512	8632680.625	40	615	0.00250277829608637	Robust across q	art_paired	FALSE	FALSE	FALSE
50	NPY1R	41	0.201441213170686	0.999999974614222	1	104689.149390244	3728852.875	40	615	0.00246144024045691	Robust across q	art_paired	FALSE	FALSE	FALSE
51	SNHG10	41	0.112937791525495	0.999999999998457	1	142719.375	9067040.375	40	615	0.00236861566863924	Robust across q	art_paired	FALSE	FALSE	FALSE
52	A4GALT	41	0.214518790274513	0.99999993201487	1	223552.277439024	7477142.625	40	615	0.00167951288839002	Robust across q	art_paired	FALSE	FALSE	FALSE
53	PDE7A	41	0.0300047041368265	1	1	63753.6524390246	15245358	40	615	0.00163745271476576	Robust across q	art_paired	FALSE	FALSE	FALSE
54	GDI1	41	0.312635539344633	0.999983231975184	1	626145.92987805	14370077.875	40	615	0.00161228989061086	Robust across q	art_paired	FALSE	FALSE	FALSE
55	SPNS2	41	0.0139223266729941	1	1	26298.7439024389	13553301.25	40	615	0.00155478741498836	Robust across q	art_paired	FALSE	FALSE	FALSE
56	SRPRA	41	0.073275616276665	0.999999999999999	1	132305.777439024	12955113.875	40	615	0.00150679241845615	Robust across q	art_paired	FALSE	FALSE	FALSE
57	SPIRE2	41	0.0149865218106393	1	1	18978.0030487805	9085975.625	40	615	0.0013530560326778	Robust across q	art_paired	FALSE	FALSE	FALSE
