	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
1	CXCL12	4.63027061494089e-88	4.63027061494089e-88	648	8	648	NA	5.99538475494985	0.815792060761544	640.085476298176	TRUE	-0.332213150846578	TRUE	FALSE	Gaussian	TRUE	4.35009845766483	mgcv::gamm_arima(1,1,0)	7.9569203016818e-11	FALSE	648	FALSE	3.51900566735508e-86	ENSG00000107562.18	CXCL12
2	THY1	3.80314117520201e-32	3.80314117520201e-32	648	8	648	NA	3.48431471699709	0.60520807591571	640.908945325481	TRUE	0.24741489855625	TRUE	FALSE	Gaussian	TRUE	1.84809715894226	mgcv::gamm_arima(1,1,0)	3.79900484524465e-08	FALSE	648	FALSE	2.8523558814015e-30	ENSG00000154096.15	THY1
3	MEF2A	1.32290628863472e-23	1.32290628863472e-23	648	8	648	NA	0.925587596357681	0.20033849848028	642.311724317676	TRUE	-0.126772219465281	TRUE	FALSE	Gaussian	TRUE	3.24452066579296	mgcv::gamm_arima(1,1,0)	1.59899989983567e-08	FALSE	648	FALSE	9.7895065358969e-22	ENSG00000068305.20	MEF2A
4	RAP1GDS1	6.85053006162536e-20	6.85053006162536e-20	648	8	648	NA	0.849955574008538	0.551563368959626	643.999999638296	TRUE	0.124004479628724	TRUE	FALSE	Gaussian	TRUE	5.97995300646981	mgcv::gamm_arima(1,1,0)	5.00688863184638e-11	FALSE	648	FALSE	5.00088694498651e-18	ENSG00000138698.16	RAP1GDS1
5	GSKIP	1.39784308687446e-18	1.39784308687446e-18	648	8	648	NA	1.01295729959623	0.310723599807749	639.751855651672	TRUE	0.135278397534021	TRUE	FALSE	Gaussian	TRUE	2.02437413095446	mgcv::gamm_arima(1,1,0)	2.60438262302243e-32	FALSE	648	FALSE	1.00644702254961e-16	ENSG00000100744.16	GSKIP
6	DUOXA2	5.39703674561379e-12	5.39703674561379e-12	566	8	566	NA	8.65690178240087	0.306180013334311	560.022412846131	TRUE	0.405495436334165	TRUE	FALSE	Gaussian	FALSE	1	mgcv::gamm_arima(1,1,0)	8.25248267843362e-11	FALSE	566	FALSE	3.83189608938579e-10	ENSG00000140274.15	DUOXA2
7	ING3	6.94757558735389e-12	6.94757558735389e-12	648	8	648	NA	0.683958590831047	0.358891477472799	643.999999965403	TRUE	0.11123825470056	TRUE	FALSE	Gaussian	TRUE	4.45072637722399	mgcv::gamm_arima(1,1,0)	5.25674501135671e-13	FALSE	648	FALSE	4.86330291114772e-10	ENSG00000071243.17	ING3
8	EXOC1	1.24007516662222e-10	1.24007516662222e-10	648	8	648	NA	0.587220948929403	0.238370772763012	643.331063272625	TRUE	0.101774970305238	TRUE	FALSE	Gaussian	TRUE	4.78092977636979	mgcv::gamm_arima(1,1,0)	9.56160135382442e-10	FALSE	648	FALSE	8.55651864969335e-09	ENSG00000090989.19	EXOC1
9	THOC6	1.69018007698512e-10	1.69018007698512e-10	648	8	648	NA	1.64313023684714	0.1460382210088	642.116317653685	TRUE	0.16377909081837	TRUE	FALSE	Gaussian	TRUE	2.04653319885444	mgcv::gamm_arima(1,1,0)	3.37589567948616e-08	FALSE	648	FALSE	1.14932245234988e-08	ENSG00000131652.15	THOC6
10	HDAC2	2.64336906751778e-10	2.64336906751778e-10	648	8	648	NA	0.606809289660698	0.290384914832477	642.197170178275	TRUE	0.100436532826208	TRUE	FALSE	Gaussian	TRUE	6.84809901345029	mgcv::gamm_arima(1,1,0)	5.8597303443901e-11	FALSE	648	FALSE	1.77105727523691e-08	ENSG00000196591.13	HDAC2
