
Global Concordance Metrics: LM vs Scheirer-Ray-Hare Methods
Metric                              Value       
Total genes compared                76          
Spearman correlation (p-values)     rho = 0.2665
Both methods significant (p < 0.05) 2 (2.6%)    
LM only significant                 57 (75.0%)  
Rank test only significant          0 (0.0%)    
Neither significant                 17 (22.4%)  
Concordance rate                    2.6%        
Discordance rate                    75.0%       

Method Agreement Distribution
Agreement.Category  Number.of.Genes Percentage
Both significant    2               2.6%      
LM only             57              75.0%     
Rank test only      0               0.0%      
Neither significant 17              22.4%     

Robust Entropic Order Index Interactions: High-Confidence Genes Detected by Both Methods (n=2, ranked by statistical significance)
Gene      LM.adj.p  Rank.test.adj.p LM.Effect Rank.test.η.
CXCL12    2.99e-162 7.24e-61        81.3%     0.300       
LINC03040 1.35e-55  7.287e-28       73.8%     0.073       

All Genes with Agreement Classification
Gene            LM.p                  LM.adj.p              Rank.test.p          Rank.test.adj.p      LM.Effect             Rank.test.η.      Agreement          
CXCL12          3.93409205363582e-164 2.98990996076322e-162 9.40409337684826e-63 7.24115190017316e-61 0.812682826494757     0.299619850438259  Both significant   
THY1            9.7990550528219e-97   7.34929128961643e-95  0.300757699769487    1                    0.600770069813788     0.352982558122666  LM only            
ING3            2.72320136224343e-77  2.01516900806013e-75  0.017000419359345    1                    0.353255990217132     0.0875768902215359 LM only            
SNHG10          9.81493312754278e-75  7.16490118310623e-73  0.999999763657169    1                    0.0514533703336814    0.304223133676546  LM only            
LINC03040       1.8745316960077e-57   1.34966282112554e-55  9.58769328184125e-30 7.28664689419935e-28 0.738033304084135     0.0727871771455738 Both significant   
HDAC2           2.61250844550401e-51  1.85488099630785e-49  0.999999285926678    1                    0.284401431877927     0.311971096682067  LM only            
ENSG00000274322 4.75206134615987e-48  3.32644294231191e-46  0.99999752082113     1                    0.0470707754546494    0.577996736304702  LM only            
MEF2A           1.3707395388311e-43   9.45810281793462e-42  0.591729113478457    1                    0.193315291561041     0.29996347010801   LM only            
RAP1GDS1        7.65309900663871e-38  5.20410732451433e-36  0.38547430314995     1                    0.54824351184772      0.227524162086322  LM only            
PDE7A           1.64350591709621e-37  1.10114896445446e-35  0.999999999999836    1                    0.00387564245477412   0.15145350143031   LM only            
PNPT1           2.8214088182325e-35   1.86212982003345e-33  0.999666278421394    1                    0.565041476554095     0.0827260403935957 LM only            
SRP72           8.31940938750904e-35  5.40761610188088e-33  0.997070753119452    1                    0.298787798149109     0.232284493497945  LM only            
SRPRA           3.65934041047997e-31  2.34197786270718e-29  0.979597321363597    1                    0.0530130786200118    0.757500773803387  LM only            
EXOC1           7.32832471988268e-31  4.61684457352609e-29  0.814846019227607    1                    0.232610362502427     0.137493928331969  LM only            
ASMTL           1.05036818623911e-30  6.51228275468251e-29  0.999999999908375    1                    0.0915491968618662    0.452244588932014  LM only            
FAM114A2        1.00594821356988e-28  6.13628410277628e-27  0.0791689793623904   1                    0.464471359602419     0.221759565109056  LM only            
A4GALT          2.10507444783166e-28  1.263044668699e-26    0.999994300278298    1                    0.18136380527104      0.241596251917749  LM only            
ATG5            3.9004951141474e-26   2.30129211734697e-24  0.999952527664904    1                    0.431188956383738     0.313941257992928  LM only            
SPNS2           1.01346899375841e-25  5.8781201637988e-24   1                    1                    6.90840973049944e-06  0.200695566438918  LM only            
GLB1L2          4.34770134028776e-24  2.47818976396402e-22  0.999974256629015    1                    0.174516908800533     0.781331018149083  LM only            
ETFRF1          2.0158934968691e-23   1.1289003582467e-21   0.988474134876603    1                    0.39789579210832      0.544993609686053  LM only            
TMEM183A        3.11459653235233e-23  1.71302809279378e-21  0.977738144613177    1                    0.162124037712643     0.185329180554796  LM only            
SPIRE2          3.36770461477199e-23  1.81856049197688e-21  0.999999999959718    1                    0.0286873279466194    0.528060815418139  LM only            
THOC6           3.48674995667439e-23  1.84797747703743e-21  0.999999999991263    1                    0.139165383907895     0.562269803847384  LM only            
FAXDC2          7.3635111195275e-23   3.8290257821543e-21   0.999999994678624    1                    0.0816461027199982    0.321920220690507  LM only            
SYNM            8.57463115124786e-23  4.37306188713641e-21  1                    1                    0.233173075864624     0.0195800536887876 LM only            
SPICE1          1.41018072765953e-22  7.05090363829765e-21  0.0628809954491877   1                    0.560877442095634     0.355707134455655  LM only            
EPB41L4A-AS1    1.75759972699496e-20  8.6122386622753e-19   0.99881639931123     1                    0.0113748236043218    0.223423545259574  LM only            
SLC25A16        9.61553682753934e-20  4.61545767721888e-18  0.999994402305554    1                    0.171715570179098     0.17861391815982   LM only            
CENPV           2.39834825867705e-19  1.12722368157821e-17  0.999909764901114    1                    0.273082029752261     0.334736825840292  LM only            
PPP1R2          9.71968422672348e-18  4.4710547442928e-16   0.999723021470395    1                    0.136007411710997     0.536340272562082  LM only            
CYP2W1          1.11694333843487e-17  5.02624502295692e-16  0.801435480570304    1                    0.576287868385043     0.440025892418305  LM only            
TM7SF2          1.56342711016755e-17  6.87907928473724e-16  0.999986244966821    1                    0.253226114644471     0.455737190061004  LM only            
NPY1R           1.13796317473262e-16  4.89324165135027e-15  0.999999999999347    1                    0.242291579767776     0.262189900436757  LM only            
ZNF714          1.18103812965533e-16  4.96036014455238e-15  0.999981343698231    1                    0.502488310102292     0.147062733351515  LM only            
DUOXA2          4.19981528402077e-16  1.72192426644852e-14  1                    1                    0.01696720636214      0.152072415120906  LM only            
GIPR            1.93505913677631e-15  7.74023654710522e-14  0.999999983542023    1                    0.000449031317897752  0.047308913418282  LM only            
TLN2            9.30331416668377e-15  3.62829252500667e-13  0.999971718394844    1                    0.186516174157158     0.305630756817017  LM only            
NCF1C           3.19290654268642e-13  1.21330448622084e-11  0.999999999991554    1                    0.0393612623833922    0.146276654184585  LM only            
MCOLN1          1.04430158854777e-12  3.86391587762676e-11  0.99987501504523     1                    0.00530599041428614   0.499065690100617  LM only            
POLR2J4         9.54382161668407e-12  3.43577578200626e-10  1                    1                    0.097359648476734     0.167559093627603  LM only            
HIGD1A          1.7793457549279e-11   6.22771014224765e-10  0.993806584790455    1                    0.406298744235991     0.2243700214725    LM only            
METTL26         1.80382591229883e-10  6.13300810181604e-09  0.353148315216032    1                    0.462237697864311     0.300450458758907  LM only            
CCDC149         3.1193640359156e-09   1.02939013185215e-07  0.999996410418721    1                    0.152913383729509     0.167036593629262  LM only            
GDI1            1.54674331747263e-08  4.94957861591242e-07  0.999998503451255    1                    0.247606836845559     0.708832890775463  LM only            
GSKIP           1.88650483071402e-08  5.84816497521346e-07  0.535638171278312    1                    0.295558535627748     0.181756003591701  LM only            
VRK2            3.4718304872888e-08   1.04154914618664e-06  0.999998496813841    1                    0.0540809977169239    0.394115130709298  LM only            
SAR1B           3.38275852642325e-07  9.80999972662744e-06  1                    1                    0.0140750767094565    0.450608922486781  LM only            
NFKBIB          4.57107489015128e-07  1.27990096924236e-05  0.941493360842567    1                    0.410228239937504     0.360433775816717  LM only            
CYBB            3.00866548276781e-06  8.12339680347308e-05  0.999999999999784    1                    0.15531792142453      0.32144943008727   LM only            
ANGEL2          6.59647822187397e-06  0.000171508433768723  0.9999984507299      1                    0.186548724896453     0.265955782666757  LM only            
UBP1            1.5490361227991e-05   0.000387259030699776  0.999999913832898    1                    0.0613377297015497    0.394161308405977  LM only            
USP38           6.4303503668132e-05   0.00154328408803517   1                    1                    0.00989264881037843   0.112748091424873  LM only            
DNAJC24         8.72483415927664e-05  0.00200671185663363   0.998427145004593    1                    0.256827776566704     0.401417232607834  LM only            
LINC02362       0.00011151433212572   0.00245331530676584   1                    1                    0.064911421139805     0.118483693711338  LM only            
SH3PXD2A        0.000175623891122949  0.00368810171358193   0.999999999854212    1                    -0.00645733665200132  0.196497297807891  LM only            
ZNF710          0.000304291524311703  0.00608583048623406   0.999999999999974    1                    0.0936812076420543    0.294823542174484  LM only            
ENSG00000254706 0.000445481601847478  0.00846415043510208   0.999999999987595    1                    0.129074434838436     0.164069790761848  LM only            
IRF3            0.000544485618332748  0.00980074112998947   0.993530871008564    1                    0.0597640196094349    0.530253584254057  LM only            
ZNF493          0.00482407338707126   0.0820092475802114    0.99999999978594     1                    0.167401622750433     0.19590885861231   Neither significant
PICALM          0.00659872458842933   0.105579593414869     1                    1                    -0.00744639474143738  0.33250607831893   Neither significant
ENSG00000291072 0.0218370821145268    0.327556231717902     1                    1                    -0.00866954578533674  0.163268612905771  Neither significant
CCNE1           0.0297540208656964    0.41655629211975      0.952941665833877    1                    0.445741662380813     0.216176202846484  Neither significant
CDH24           0.0357332771136722    0.464532602477738     0.999986579051107    1                    0.416878041012929     0.120983031322245  Neither significant
FBXO3           0.0484486169192778    0.581383403031334     1                    1                    -0.00236317717982271  0.114162448727745  Neither significant
NSA2            0.0627387427768875    0.690126170545763     0.999999999788397    1                    -0.00164573004659951  0.300492623547971  Neither significant
FOXJ2           0.104119916793551     1                     0.998669263279301    1                    0.294315766479714     0.2143912005786    Neither significant
ZFP90           0.110129204219059     1                     1                    1                    0.105816252058676     0.387812762705926  Neither significant
SLC9A7          0.149085531657439     1                     1                    1                    -0.000620117061592262 0.254703276346004  Neither significant
RELCH           0.199113691873579     1                     0.999999999980548    1                    -0.00631251448304671  0.232746349087896  Neither significant
PBX2            0.201703818069494     1                     0.999999999199092    1                    2.73722548348454e-05  0.261774807185442  Neither significant
REG3A           0.202711558470612     1                     1                    1                    0.496740225972048     0.0478353767456486 Neither significant
TMEM38A         0.217316610436547     1                     1                    1                    0.0475372568960041    0.0969604631880469 Neither significant
PMEPA1          0.324525131631468     1                     0.994813211499989    1                    -0.00210070728749012  0.268517496152651  Neither significant
MCC             0.825416335342252     1                     0.999999990056275    1                    0.00802830045190317   0.520722108874394  Neither significant
IFIT3           0.889517992537266     1                     1                    1                    -8.38215371239404e-05 0.0610845641464206 Neither significant

