SRR14800481	SRR14800480	SRR14800477	SRR14800476	SRR14800475	SRR14800490	SRR14800489	SRR14800488	SRR14800479	SRR14800478	SRR14800487	SRR14800486	SRR14800485	SRR14800484	SRR14800483	SRR14800482
FOXJ2	0.75	1	0.75	0.75	1	1	1	0.5	0.75	0.75	1	0.5	0.5	0.75	0.5	0.75
TMEM38A	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
GSR	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0	0.666666666666667	1	0.333333333333333	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.333333333333333
SNX4	1	0	1	1	1	0.5	0.5	0.5	1	0.5	1	0.5	1	0.5	0.5	1
GGH	1	0.75	1	0.875	0.375	0.875	0.75	0.75	0.75	1	0.875	0.875	0.625	1	0.625	1
PNPT1	0.428571428571429	0.714285714285714	0.857142857142857	0.714285714285714	0.571428571428571	0.714285714285714	0.714285714285714	0.428571428571429	0.571428571428571	1	1	0.857142857142857	0.857142857142857	1	1	0.714285714285714
CCNE1	0.333333333333333	0.666666666666667	0	1	0.333333333333333	NA	0.333333333333333	0.333333333333333	1	1	1	1	0.333333333333333	1	0.666666666666667	0.666666666666667
MCOLN1	0.75	1	0.75	1	1	1	1	1	1	0.75	0.75	1	1	0.75	0.75	0.25
FBXO3	0.857142857142857	1	0.857142857142857	1	1	0.857142857142857	1	0.857142857142857	0.714285714285714	1	1	1	1	1	1	0.857142857142857
SLC25A16	0.857142857142857	0.714285714285714	0.714285714285714	0.571428571428571	0.714285714285714	0.714285714285714	0.571428571428571	1	0.571428571428571	0.857142857142857	0.857142857142857	0.857142857142857	1	0.857142857142857	0.857142857142857	0.857142857142857
ZNF710	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TM7SF2	0.75	1	1	0.5	0.5	1	1	1	1	0.75	1	0.5	0.5	1	0.75	1
UBP1	0.8	0.6	1	1	1	0.6	0.6	1	0.8	1	0.8	1	0.8	1	1	1
THY1	0.333333333333333	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	1	1	1	1	1	0.666666666666667	0.666666666666667	1	1	1
SPICE1	1	0.75	1	0.75	1	1	0.5	1	1	0.75	0.75	0.75	1	0.75	0.75	1
NPY1R	1	1	0.666666666666667	1	0.333333333333333	1	1	0.666666666666667	0	0	1	1	0.666666666666667	1	0	0.333333333333333
CENPV	1	1	1	0.833333333333333	1	1	1	0.833333333333333	1	1	1	1	1	1	1	1
METTL26	0.6	0.5	0.7	0.6	0.6	0.8	0.8	0.8	0.9	1	1	0.6	0.8	1	0.9	0.9
PTGER4	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0
MCC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REG3A	NA	1	NA	0	0	NA	NA	0	1	1	1	1	1	1	1	1
USP38	1	1	1	1	0.857142857142857	0.857142857142857	1	0.857142857142857	0.857142857142857	1	1	1	1	0.714285714285714	1	1
CYP2W1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1
IRF3	0.733333333333333	0.8	0.8	0.866666666666667	0.733333333333333	0.8	0.666666666666667	0.866666666666667	0.866666666666667	1	0.866666666666667	1	0.733333333333333	0.866666666666667	0.733333333333333	0.8
NFKBIB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5
ING3	0.8	1	0.8	0.8	0.6	0.8	1	0.8	1	0.8	1	1	1	1	1	1
HIGD1A	0.875	0.875	1	0.875	0.875	0.75	1	0.875	0.75	0.875	0.75	0.75	0.875	1	1	0.75
DUOXA2	0	0	NA	0	1	NA	1	0	1	1	1	1	1	1	1	1
CCDC149	0.5	1	1	0.75	1	1	1	1	0.75	0.75	1	1	0.5	0.75	0.75	0.75
FAXDC2	0.857142857142857	1	0.714285714285714	0.857142857142857	0.857142857142857	1	0.857142857142857	1	0.857142857142857	0.714285714285714	0.857142857142857	0.857142857142857	0.571428571428571	0.857142857142857	0.571428571428571	0.428571428571429
THOC6	0.75	0.75	0.5	0.5	1	0.75	1	1	1	1	1	0.75	1	1	0.5	0.75
POLR2J4	0.789473684210526	0.947368421052632	0.842105263157895	0.789473684210526	0.789473684210526	1	0.789473684210526	0.789473684210526	0.894736842105263	0.789473684210526	0.842105263157895	0.842105263157895	0.578947368421053	0.894736842105263	0.736842105263158	0.894736842105263
SYNM	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
SPNS2	1	1	0	1	1	0	0	0	0	1	1	0	1	0	1	1
SRPRA	0.75	1	1	1	0.75	0.75	0.75	1	0.75	1	0.75	0.75	1	0.75	1	1
PNRC2	1	0.75	0.5	1	0.75	1	1	1	0.75	1	1	1	0.75	0.75	0.75	1
LINC03040	0.5	0.5	0	0.5	1	0	0	0.5	1	1	1	1	1	1	1	1
RAP1GDS1	0.7	0.8	0.7	0.6	0.6	0.6	0.9	0.6	0.6	0.8	0.8	0.9	0.9	0.8	0.8	1
ZNF493	0.875	0.875	0.875	1	0.875	1	1	1	1	0.75	1	0.875	0.875	1	1	0.875
VRK2	1	0.875	0.875	0.875	1	1	0.875	0.875	0.875	0.875	1	1	1	1	0.75	1
PMEPA1	0.5	1	1	1	0.5	1	1	0.5	1	1	0.5	0.5	0.5	1	0.5	1
HIPK2	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	1	1	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1
ATG5	0.875	0.75	1	0.875	0.75	0.875	0.875	1	1	0.875	1	1	0.875	0.875	0.75	1
CXCL12	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1
EXOC1	0.75	0.375	0.875	0.75	0.5	0.625	0.875	0.875	0.5	0.875	0.75	0.875	0.5	0.875	0.875	0.875
FAM114A2	0.833333333333333	0.5	0.833333333333333	0.666666666666667	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.666666666666667	0.666666666666667	1	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333
MEF2A	0.727272727272727	0.818181818181818	0.818181818181818	0.818181818181818	0.818181818181818	0.818181818181818	0.818181818181818	1	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.636363636363636	0.727272727272727	0.545454545454545	0.727272727272727
SH3PXD2A	0.75	0.75	1	1	1	0.75	0.5	1	1	1	0.75	1	0.75	1	0.75	1
ANGEL2	1	0.833333333333333	1	1	0.666666666666667	1	1	1	1	1	1	1	1	1	0.833333333333333	1
ENSG00000291072	1	1	0.9	1	0.9	0.8	1	1	0.9	0.9	0.8	0.9	1	0.9	0.9	1
TMEM183A	0.9	0.8	0.8	1	0.9	0.7	0.8	0.8	0.7	1	0.9	0.8	0.9	0.9	0.7	0.9
HDAC2	0.636363636363636	0.909090909090909	0.727272727272727	0.909090909090909	0.818181818181818	0.818181818181818	0.636363636363636	0.727272727272727	0.909090909090909	0.909090909090909	1	1	0.909090909090909	1	0.727272727272727	0.909090909090909
IFIT3	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
RRAGC	1	0.5	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1
KPNA6	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1
DES	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1
PBX2	1	0.75	0.75	0.75	1	0.5	0.75	0.75	1	1	0.75	0.5	0.75	0.5	0.75	0.75
SPIRE2	1	1	1	1	0.625	0.875	1	1	1	1	0.875	1	1	1	1	0.875
CYBB	1	1	1	1	1	0.666666666666667	1	1	0.333333333333333	0.666666666666667	1	1	1	1	1	0
A4GALT	0.8	0.6	0.4	0.6	1	1	0.6	0.6	0.6	0.8	0.8	1	0.8	0.8	1	0.6
ASMTL	0.666666666666667	1	0.666666666666667	0.666666666666667	0.666666666666667	1	1	0.666666666666667	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	1
ETFRF1	1	1	1	1	1	1	1	1	0.8	1	1	1	0.8	1	0.8	0.8
PICALM	0.863636363636364	0.954545454545455	0.818181818181818	0.863636363636364	0.909090909090909	0.863636363636364	0.818181818181818	0.818181818181818	0.863636363636364	0.909090909090909	0.909090909090909	0.909090909090909	0.863636363636364	0.909090909090909	0.818181818181818	0.863636363636364
PDE7A	0.857142857142857	0.857142857142857	1	0.857142857142857	1	0.857142857142857	0.857142857142857	0.714285714285714	0.857142857142857	1	1	0.857142857142857	0.857142857142857	1	1	1
CDH24	1	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0.5	0.5	1	1	1	1
RELCH	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.727272727272727	0.818181818181818	1	0.727272727272727	0.727272727272727	0.727272727272727	0.818181818181818	0.909090909090909	0.818181818181818	0.818181818181818	0.909090909090909	0.818181818181818
ZFP90	0.666666666666667	0.666666666666667	0.5	0.666666666666667	0.833333333333333	0.833333333333333	0.666666666666667	0.5	0.666666666666667	0.833333333333333	0.5	0.5	0.666666666666667	0.666666666666667	0.833333333333333	0.5
SAR1B	0.714285714285714	0.714285714285714	1	1	0.857142857142857	0.714285714285714	0.857142857142857	0.857142857142857	0.571428571428571	0.714285714285714	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.714285714285714	0.857142857142857
PPP1R2	1	0.75	0.5	0.5	0.75	0.75	1	1	1	0.75	0.75	0.75	1	0.75	1	0.75
ENSG00000254706	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1
ZNF398	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1
EPB41L4A-AS1	1	0.666666666666667	1	0.666666666666667	0.5	0.666666666666667	0.666666666666667	1	0.833333333333333	1	0.666666666666667	0.5	0.833333333333333	0.666666666666667	0.833333333333333	1
GSKIP	0.833333333333333	0.666666666666667	0.833333333333333	0.833333333333333	0.666666666666667	0.5	0.666666666666667	1	0.833333333333333	0.666666666666667	1	0.833333333333333	0.666666666666667	0.833333333333333	0.5	0.833333333333333
GDI1	1	1	0.833333333333333	0.666666666666667	0.666666666666667	0.833333333333333	1	1	1	1	0.833333333333333	1	0.833333333333333	0.833333333333333	1	1
ZNF714	1	1	1	1	0.666666666666667	0.333333333333333	1	1	1	1	1	1	1	0.666666666666667	1	1
SLC9A7	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1
DNAJC24	1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1	1
TLN2	0.7	1	0.7	0.8	0.7	0.7	1	1	0.6	0.7	0.8	0.7	0.9	0.6	0.7	0.7
